speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"??OUSE of i&rotTSFntantirs. Tuesday, 15 October, 1012. Mr SPEAKER took the chair at 3 p.m., and read prayers. PETITION. Mr AUSTIN CHAPMAN presented a petition from certain residents in the Federal Capital Territory of Canberra, asking that their representatives might be heard at the bar of the House to ventilate their grievances, and to acquaint honourable members with certain disabilities under which they suffer. Petition received and read. Motion (by Mr AUSTIN CHAPMAN) putThat the prayer of the petition be granted. The House divided. Ayes 19 Noes 29 Majority AYES. Anstey, F . Gordon, D . J. Bamford, F . W . Groom, L . E . Brown, Thomas Hedges, W. N . Chapman, Austin Ryrie, G. de L . Cook, Joseph Sampson, S. Forrest, Sir John Sinclair, H . Foster, Richard Thomson, J. Fowler, J. M . Tellers: Fuller, G. W. Greene, W. M . Glynn, P. MCM . Johnson, W . Elliot NOES. Archibald, W. O. Moloney, Parker Brennan, Frank O'Malley, King Catts, J. H . Page, J. Chanter, J. M . Poynton, A . Charlton, M . Riley, E. Fenton, J. E. Roberts, E. A. Fishei, A. Smith, Laird Frazer, C. E. Thomas, J. Higgs, W . G. Tudor, F. G. Howe, R. Webster, W . Hughes, W . M . West, J. E . Johnson, W. J. Wise, G. H . Maloney, Dr Tellers: Mathews, J. Finlayson, W. F . MCDougall, J. K . Scullin, J. H . PAISS. Deakin, A. , CanQi G*. Atkinson, L . Carr, E. S. Faiibaim, G. Foster, Frank Smith, Bruce Spence, W . G. MCWilliams, W. Jensen, J"". A. Irvine, W . H . Bennett, B. H . Kelly, W. H . Watkms, D . Question so resolved in the negative. SUPPLY BILL (No. 3)Assent reported. MOUNT LYEL L DISASTER.",14
1,Mr FISHER,Unknown,"Wide Bay-Prime Minister and Treasurer) [3.10] - Since the House last met an appalling accident has taken place in a neighbouring State, which, I think, deserves mention in this House, so that we may extend our sympathy to those who have unfortunately suffered, and to those relatives who are bereaved, and at the .same time express the hope that the heroic efforts made by those who have escaped may lead to the rescue of the many men now believed to be alive in the Mount Lyell mine. As a miner myself I think I understand the circumstances as well as any one, and I can only say that, if human skill and endurance can effect a rescue it will be effected. The latest information is that the modern equipment asked for to enable the rescuers to achieve their purpose in the most speedy way possible has arrived, and the mining company hope that good results will follow almost immediately. I hope that their highest expectations may be realized; and it only remains for me to express again, on behalf of yourself, Mr Speaker, and, I am sure, every member of the Federal Parliament, under the dire circumstances, our sympathy and best wishes.",15
2,Mr JOSEPH COOK,Unknown,"Parramatta) [3. n ] - I join with the Prime Minister in an expression of our deep concern at the unfortunate occurrence in the neighbouring State. From a long experience I , like the Prime Minister, know just what this occurrence means. It seems, somehow, as if in spite of all that modern science and ingenuity can contrive, these mysterious happenings still come like a bolt from the blue and leave us all aghast. Out of the gloom of the surroundings we are glad to see these bright gleams of heroism in the efforts which are being made to rescue those who are unfortunate enough to be entombed. makes us proud of our race to find men from day to day glad to brave all dangers, even to the sacrifice of their own lives, if only they may rescue alive some of those below. I join the Prime Minister in the very earnest hope that those now entombed may all be found alive, and eventually restored to their families-thei r hearths and homes. In the meantime, we express the 'deepest sympathy with those who are bereft and those who suffer; and we can only hope that a kind Providence may assuage their grief and soften the blow which has come so suddenly upon them. DEFENCE DEPARTMENT. DEFECTIVE AMMUNITION-INSTRUCTIONA L STAFF : INCREMENTS.",15
3,Mr RYRIE,Unknown,"Is it a fact that 250,000 rounds of rifle ammunition have been returned to store as defective; and, if so, will the Minister representing the Minister of Defence tell us what steps will be taken to remedy this state of affairs?",15
4,Mr ROBERTS,Unknown,"I shall be able to provide the honourable member tomorrow with exact information on the matter. Mr W. ELLIOT JOHNSON - Will the Minister representing the Minister of Defence inform the House whether it has been decided to increase the pay of the Instructional Training Staff in Sydney; and, if so, when the increase will date from?",15
5,Mr ROBERTS,Unknown,I suppose the honourable member means the non-commissioned officers and warrant officers of the Administrative and Instructional Staff? Mr W. ELLIOT JOHNSON - Yes .,15
6,Mr ROBERTS,Unknown,"There is a sum on the Estimates for an increase in their pay, and I presume the increase will date from the ist July, although it will not be payable until the Estimates are passed. MOISTURE IN BUTTER.  and Customs inform the House and the country as to what he intends to do with regard to the moisture in butter question?",15
7,Mr TUDOR,Unknown,"As honourable members know, this matter has been under consideration for some time. At present I am kept fully employed by the Navigation Bill, but as soon as that measure is out of the road, I hope to be able to arrive at a decision on the question to which the honourable member refers. It Mr FULLER - As this matter has been under consideration, for a long time, and as the Minister of Trade and Customs has promised to submit it to the Cabinet, I desire to ask that gentleman, as the. Minister who knows all ahout the subject, whether he is prepared to recornmend to the Cabinet an alteration in the standard of moisture, so as to put Australian producers on an equal footing in the London market with the other producers in the world?",15
8,Mr TUDOR,Unknown,"As I have already said, this matter is still under consideration, and when a decision has been arrived at I shall give a reply to the question.",15
9,Mr FULLER,Unknown,"It has been, under consideration for months.",16
