speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"IQoust of SepresrntatiUes. Saturday, 4 December, igog. Mr SPEAKER took the chair at 11 a.m., anti read prayers. NEWCASTLE COAL VEND.",14
1,Mr JOHNSON,Unknown,"I desire to ask the Attorney-General whether he can yet say, as the result of his inquiries, that the Newcastle coal vend is a combination in restraint of trade, and injurious to the public within the meaning of the Australian Industries Preservation Act; and, if so, whether it is intended to initiate a prosecution against those concerned in the vend ?",14
2,Mr GLYNN,Unknown,"As the inquiries now. being made may result in litigation, I should prefer not to have such a question put to me. I do not think that, under the circumstances, I could answer it. Mr KI NG O'MALLEY - I desire to ask the Attorney-General whether his attention has been directed to the following paragraph, which appeared in Thursday evening's issue of the HeraldIn their innermost thoughts the proprietors cannot regard it as a childish scheme, for last week one of the leading members of their association approached our manager, under manager, and weighman, and told them that if they worked the colliery for the miners they would be blackballed by members of the vend throughout the Newcastle and Maitland districts. But if they resigned, the vend would stick to them, and the result was that the manager resigned after he had delayed the starting of the pit as long as he could. And now the under manager and weighman have also resigned. Further, I wish to ask the Attorney-General whether there is any Commonwealth law to prevent the New South Wales Government, or the Railway Department of that State, becoming, so to speak, an Australian Kruger, and commandeering the miners' coal? Can he say what is the difference between such an action, and that of a. general, at the head of an invading army, commandeering all provisions for his commissariat?",14
3,Mr GLYNN,Unknown,"I confess that the intellectual lassitude ensuing upon yesterday's long sitting renders it difficult for me to answer, off-hand, the honourable member's question. With his usual ability, he has put rather a poser to me. T prefer not to answer the question at present, as it involves matters with which I cannot now deal; and also because there may be involved a question of State, rather than of Federal, sphere. QUARANTIN E ACT. FEDERAL INSPECTON OF INTER-STATE PRODUCE.",14
4,Mr ATKINSON,Unknown,"As it may be impossible during the present session to pass an amendment of the Quarantine Act, I desire to ask the Prime Minister whether it is the intention of the Government, during the recess, to try to arrange for the Federal inspection of produce passing from State to State, at the earliest possible opportunity ?",14
5,Mr DEAKIN,Unknown,"The question, in several aspects, has been before us. We have, at - present, no power to act as the honourable member suggests; but the best mode of dealing in future with questions involving an interference with Inter-State trade will be taken into immediate consideration by the Government. POSTMASTER-GENERAL'S DEPARTMENT. TELEPHONE LINES : NEW SOUTH WALESTENDERS FOR COPPER WIRE-TELE PHONE FLAT AND TOLL RATES.",14
6,Mr BOWDEN,Unknown,"On 1st instant, tenders for the supply of a large quantity of copper wire for trunk telephone lines in different parts of New South Wales closed. Will the Postmaster-General in-, form the House what was the result of those tenders, and whether the work of constructing the lines in question is proceeding?",14
7,Sir JOHN QUICK,Unknown,"I recently accepted contracts for the supply of a large quantity of cable, telegraph, and telephone wires, but I do not know that any of those contracts included the tenders referred to by the honourable member. I shall make inquiries, and supply him with full particulars.",15
8,Mr THOMAS BROWN,Unknown,"On 25th November last, I asked the PostmasterCeneral, upon notice, a series of questions relating to flat and toll rates, and to certain other matters connected with the services of his Department. The honourable gentleman then promised to obtain and supply me with the information at a later date. I desire to know whether he has yet obtained it?",15
9,Sir JOHN QUICK,Unknown,Not yet. It will take a considerable time to compile and prepare it. MISSING STEAMER WARATAH.,15
10,Mr JOHNSON,Unknown,"I wish to ask the Prime Minister whether his attention has been called to a paragraph published in the South Australian Advertiser of 19th November last,' giving portion of the narrativu of Mr C. G. Sawyer, one of the passengers on the missing steamer Waratah, who left her at Durban. That narrative contains some startling statements, and I ask the Prime Minister whether, in the course of the inquiries which I understand he has initiated, he will cause this letter to be brought under the notice of the South African authorities with a view of obtaining evidence from the gentleman in question, as well as from other passengers who may hav<» left the steamer with him?",15
11,Mr DEAKIN,Unknown,Yes . WOMAN SUFFRAGE.,15
12,Dr MALONEY,Unknown,"I desire to ask the Prime Minister whether, having regard to the speedy way in which certain measures were dealt with yesterday, he will consent to ask the' House to devote this session ten or fifteen minutes to the consideration of the motion of which I gave notice this morning, in order to ""show the womenfolk of England that the women of Australia properly use the franchise. The notice of motion is lis follows:(1) That this House testifies to the facts that after 16 years' experience of woman suffrage In various parts of Australasia and 9 years experience in the Commonwealth, the reform has justified the hopes of its supporters and falsified all the fears and prophecies of disaster voiced by its opponents. (2) That, as foreseen by its advocates, its effects have been : («) To gradually educate women to a sense of their responsibility in public affairs. (i) To give more prominence to social and domestic legislation. (3) That Australasian experience convinces this House that to adopt woman suffrage is simply to apply to the political sphere that principle of government' that secures the best results in the domestic sphere-the mutual co-operation of men and women for the individual and general welfare.",15
13,Mr DEAKIN,Unknown,At the present moment time is almost invaluable.,15
14,Dr MALONEY,Unknown,I ask for only ten minutes.,15
15,Mr DEAKIN,Unknown,"I doubt if it be necessary to devote even two minutes to such a proposition, since I believe there would be no hesitation on the part of honourable members in giving a cheerful assent to the proposition, so far as it testifies to the universal content in Australia with the extension of the suffrage to women. ADJOURNMENT (Formal). NORTHERN TERRITORY.  sire to move the adjournment of the House to discuss a definite matter of urgent public importance, viz., "" The present unsatisfactory position of the Northern Territory Agreement.""",15
16,Mr SPEAKER,Unknown,"I would point out to the honourable member that under our Standing Orders it is incompetent for an honourable member to allude, to any measure pending in another place.  Northern Territory Acceptance Bill.",15
17,Mr SPEAKER,Unknown,"I assume that the honourable member has so prepared his case that it will come strictly within .the terms of his motion. Does he desire to retain the word ""agreement"" in the written notice that he has just handed to me ?  Fivehonorable members having risen in their places, Question proposed.  some time - not only in this' House, but throughout the Commonwealth, that it is a menace to Australia to have unoccupied that vast tract of country known as the Northern Territory, which comprises one1 sixth of the whole of the continent. During the last week we have had before us a measure committing the Commonwealth to a proposal to float a loan of ,£3,500,000. for the purposes of naval defence, and argument used to show the urgency of that Bill was that at any moment the enemy might be at our door. I should not have submitted this motion but for something that has occurred in another place. Knowbeen ing the feeling of the people of South tralia, I am confident that the agreement drafted' by the late Premier of South Austhe tralia and the present Prime Minister, altered as proposed by another place, will be unacceptable to South Australia. It mean that our northern doorway will be open, and that the vacant Territory will continue to be a menace to Australia. I it that the agreement, signed by the Prime Minister and the late Premier  «i solemn, sacred, and binding,as the finanAustralia, cial agreement recently entered into the States ; and i l is with reluctance have to refer to the votes given by Ministers nnd Ministerial supporters. It is not necesNorthern sary for me to refer to the stringent measures resorted to by the Government order to secure the passing of the ing to the financial agreement, as contrasted with the treatment accorded Northern Territory Acceptance Bill . withstanding all' that has been said about the menace which is presented by this huge empty space in the north, and of the' great obligation that rests on the Commonwealth, only Ministers voted in favour of the I should be remiss in my duty, as a representative of South Australia, if I allowed this opportunity to pass without impressing ters. ' on the House the gravity of the position.",15
