speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"^ouse of 3Srpvesentatiurs. Tuesday, ip December, 1905. Mr SPEAKER took the chair at 10.30 a.m., and read prayers. MEMBERS' REMUNERATION. Mr KING O'^MALLEY - In view of the trouble which has been caused, and the comments which have been made, in regard to the privileges given to members in the Way of stamps, free telegrams, and travelling expense^ will the Prime Minister next session abolish these concessions, and raise the salaries of members fo £600 a year, leaving each member to meet his own requirements?",12
1,Mr DEAKIN,Unknown,"The approaching recess will give me an opportunity to fully consider the matter. DISTRIBUTION OF ELECTORATES. Mr DUGALD THOMSON.^I wish to know from the Minister of Home Affairs if he has yet fixed an Enumeration Day in connection with the redistribution of electorates, and if he has noticed that the population statistics for the past quarter, just published in the newspapers, fully justify the action of the late Government in connection with the alteration of the representation of the States, which has been so much animadverted upon. If the fixing of an Enumeration Day is too long delaved, one of the States may lose yet another representative",12
2,Mr GROOM,Unknown,The u t h December was gazetted as Enumeration Day. I have not had time to make a close examination of the figures to which the honourable member refers. CONSUMPTION CURE.,12
3,Mr MALONEY,Unknown,"Will the Prime Minister, for the benefit of those who are now grappling with the white, death, obtain through the Imperial authorities a .supply of Professor Behring's consumption remedy, and apportion it among the Boards of Health of the six States of Australia ?",12
4,Mr DEAKIN,Unknown,"Healt h matters are still under the control of the authorities of the States, but if it is convenient to them for the Commonwealth to act for them in this matter, we shall be happy to do so. NA",12
5,Mr KING OMALLEY,COMMUNICATI ON WITH KING,"I wish to know if the Postmaster-General has yet seen Captain Walker with a view to the establishment of communication by means of wireless telegraphy between King Island and Burnie, Tasmania?",13
6,Mr AUSTIN CHAPMAN,COMMUNICATI ON WITH KING,"I have been unable to see him yet, because of the long sittings of Parliament, but I hope to have an interview with him in the course of the next few days, when the matter will receive full consideration-. Mr DEAKIN laid upon the table the following papers:- , Memorandum by the Agents-General on the subject of immigration (dated 10th November). Report of the joint House Committee on the Refreshment Rooms. Report on British New Guinea, for year ended 30th June, 1905. Ordered to be printed. Copy of the contract entered into - with Messrs. Burns, Philp, and Co., for various mail services. NA ADMINISTRATION.",13
7,Mr MAUGER,PUBLIC SERVICE,"the Prime Minister, upon noticeDo the Government intend to give effect to the following resolutions adopted by the Senate, vii. :(«) Abolition of the grading system under £150 per annum, and ea-ch officer to reach, that amount by increments? (4) Better allowances to officers districts ? (r) Substitution of aStipendiary Police Magistrate or aJudge as Chairman Appeal Boards, instead spector ?",13
8,Mr GROOM,PUBLIC SERVICE,"The matter has been retwine ferred to the Public Service, Commissioner for his consideration. COMMONWEALTH PRINTING.",13
9,Mr BROW N,PUBLIC SERVICE,"the Prime Minister, upon notice- 1. Is it a fact lhat a large quantity of printing for the. State of New South Wales hitherto executed in the Government Printing Office, Sydney, has been transferred to Melbourne and elsewhere ? 2. What are the nature and cost of such transferred printing, and the reasons for the transfer? 3. Have representations been received from the Premier of New South Wales and other State sources in this connection; if so, what was nature of such representations, and what action has been taken with respect to same?",13
10,Sir JOHN FORREST,PUBLIC SERVICE,"The answers ISLAND. to the honourable member's questions aire as follow:1. I am informed that it is not so. a. See reply to No. 1. 3. A proposal to print postage stamps at Adelaide has been objected to by the Premiers of New South Wales and Queensland. Information is being obtained on the matter, and no decision has heen arrived at as yet. PARLIAMENTARY CANDIDATES.",13
11,Mr HUME COOK,PUBLIC SERVICE,"for Mr STORRER) asked the Postmaster-General, upon noticePAPERS. 1. Whether, as it has been decided lo giv.e special concessions to candidates for the Commonwealth Parliament, the Government will see that similar privileges are given to candidates for the State Parliaments? a. If this cannot be done under the present law, will the Government bring in legislation which will enable it to be done?",13
12,Mr AUSTIN CHAPMAN,PUBLIC SERVICE,The answers to the honourable member's questions are as follow:r. No concession with Tcspect to either postal or telegraphic rates can be made unless the exemption has been provided for by some Act of the Commonwealth as required by section 5 of the Post and Telegraph Rates Act 190a. 2. It will be considered when any legislation is introduced for. the purpose of amenaing the laws relating to rates. SEALING OF MAIL-BAGS.,13
13,Mr WEBSTER,PUBLIC SERVICE,"the Postmasterin remote General, upon notice Whether, in' view of the adoption of a more of effective and economical mode of sealing mailof the Inbags, he will state1. How many mail-bags are tied up"" with and despatched annually by each State? 2. How many mail-bags of all kinds are despatched annually by each State? 3 (a) What number of bags are received at the General Post Office in each State from its own suburban and country post offices? (i) .How many of that number are tied up with twine? 4. How much per lb. is the contract for twine ? 5. (a) Do all the stamp distributing officers'of each State despatch their stamps, &c, in small leather tags? (i) Hew many hags are annually despatched by each State? (e) What is the total number of bags in use?",13
14,Mr AUSTIN CHAPMAN,PUBLIC SERVICE,"The necesthe sary information will be obtained, and answers; furnished as soon as possible. PILOTAGE EXEMPTION.",13
15,Mr MALONEY,PUBLIC SERVICE,"the Minister of Trade and Customs, ufon notice Whether he will grant exemption certificates for pilotage to Australian-born officers of the Mercantile Marine and thus assist them to obtain positions in the shipping companies trading with Australia ?",14
16,Sir WILLIAM LYNE,PUBLIC SERVICE,The Commonwealth has no control over or regulation of the issue of exemption certificates. Such matters are at present entirely regulated by State law. POST-OFFICE ORDERS.,14
17,Mr WEBSTER,PUBLIC SERVICE,"the Postmaster General, ufon noticei . Whether he is aware that the charges for Post-office ""Orders are altogether out of proportion to the cost for transfer of money by other private methods; e.g., a Post-office Order.for £11 to another State costs 5s. 6d., or 6d. in the £ 1 , whereas a bank draft for such amount costs only is. i d . ? , 2. Will he review the list of these charges and adopt such as exist in outside institutions'?",14
18,Mr AUSTIN CHAPMAN,PUBLIC SERVICE,"The answers to the honourable member's questions are as follow : 1. The Postmaster-General is not aware that the charges for Post-office Orders between the States of the Commonwealth are those quoted. A Post-office Order for £1 1 for another State would cost 2s. 6d., and not 5s. 2. The matter of a reduction of the Inter-State charges on Post-office"" Orders is being inquired into with a view to reducing the charges if such action is considered to be desirable. SUGAR BOUNTY BILL. In Committee (Consideration of Senate's amendments):Clause 2In this Act, unless the contrary intention appears""Black labour"" includes all forms of coloured labour whether half-caste or of full blood. "" White-grown cane or beet"" means sugar cane or beet produced on a white plantation and in the production of which white labour only has been employed after the first day of January One thousand nine hundred and seven, or for a period of twelve months immediately preceding the delivery thereof for manufacture or (in respect of the cane crop which will be cut in the year 10,06) from the commencement of this Act to the delivery of the cane crop for manufacture. "" White plantation "" means a plantation particularized in a notice of intention to claim bounty whether given in pursuance of the regulations in force under this Act or the Sugar Bounty Act 1903. Senate's Amendment - Leave out ""Black,"" line 3, insert "" Coloured "" ; after "" employed,"" line 9, insert "" (a ) "" ; after "" or,"" line 11, insert "" (£) "" ; leave out "" (in respect of the cane crop which will be cut in the year 1906) from the commencement of this Act to the delivery of the cane crop for manufacture"" insert "" (c) in the case of cane cut in the year One thousand nine hundred and six after the expiration of one month after the commencement of this Act."" Clause 3After the first day of January One thousand nine hundred and seven, there shall be paid out of the Consolidated Revenue Fund, which is hereby appropriated accordingly, to every grower of white-grown cane or beet within the Commonwealth a bounty, at the rates provided by this Act, on all such cane or beet delivered for manufacture after that date and before the first day of January One thousand nine hundred and twelve. Senate's Amendment - Leave out "" twelve,"" line 10, insert ""thirteen."" Clause 5 (Bounty not payable in certain cases)Senate's Amendment - Leave out "" black,"" insert ""coloured"" (consequential). Clause 6The rates of bounty payable under this Act shall be as follow :(a) In the case of sugar-cane-si x shillings per ton calculated on cane giving ten per centum of sugar, to be increased or decreased proportionately according to any variation from this standard ; and (4) In the case of beet-sixt y shillings per ton on the sugar-giving contents of the beet. Senate's Amendment - Leave out "" the,"" line 10, insert "" actual""; add to clause, "" Provided that the rates payable on all such cane or beet delivered during the years 1911 and 1912 shall be respectively two-thirds and one-third of the aforesaid rates."" Clause 8ASenate's Amendment - After clause 8 insert the following new clause :8A. Every grower of white-grown sugar who claims the bounty payable under this Act, shall, in making such claim, certify to the Minister the rate of wages paid to any. labour employed by him, other than the labour of members of his family. If the Minister finds that such rate of wages is below the standard rate paid in the district in which the sugar is grown, to similar white labour engaged in that industry; then the Minister may withhold the whole or any part of the bounty payable.",14
19,Sir WILLIAM LYNE,PUBLIC SERVICE," I move That the amendments be agreed to. The most important amendment made by the Senate in this Bill is one which provides that the full amount of bounty shall be paid for four years, that in the fifth year the amount shall be reduced by one-third, and in the sixth year by two-thirds, so that at the end of seven years from now it will cease entirely. I regret that the change has been made. No doubt it will fail to give the satisfaction which would have been given by the original arrangement, and will necessitate an alteration in the Excise law when the reduction begins to take effect, because otherwise the white growers will be unfairly handicapped.",14
20,Mr BRUCE SMITH,PUBLIC SERVICE,Sufficien t unto the day is the evil thereof. The full amount of bounty will continue to be paid for the next five years.,15
21,Mr LONSDALE,PUBLIC SERVICE,Does the Minister think that the bounty should be paid for all time?,15
22,Sir WILLIAM LYNE,PUBLIC SERVICE,"That is a question to be dealt with in the future. We cannot tell how things will have altered at the end of the next five years. There may have been a re-adjustment of our finances, which will create quite new conditions. If we were not so near the end of the session, the Government would ask the Committee to take action more in consonance with their views, but as we wish' to deal with the matter this session, and to get' away before Christmas, we are compelled to reluctantly ask' honourable members to accept the amendments of the Senate. To my mind, further action will have to be taken in this matter at the end of the next five years. The desire of honourable senators seems to be to intimate to the sugar growers that the bounty will terminate seven years from now; but I feel that further action will be forced on the Government of the day at the end of the next five years.",15
23,Mr BRUCE SMITH,PUBLIC SERVICE,Has not the Senate made an amendment providing for the ment of a minimum wage?,15
24,Mr DEAKIN,PUBLIC SERVICE,The wages paid in a district.,15
25,Mr FISHER,PUBLIC SERVICE,It is out of place in this Bill.,15
26,Sir WILLIAM LYNE,PUBLIC SERVICE,"Perhaps that provision would be better elsewhere, but I member means that the Excise duty should do not wish to delay matters by asking the House to reject it.",15
27,Mr WATSON,PUBLIC SERVICE," I regret the action of the Senate, chiefly because I tliink it premature to say when the tinction now drawn beween the Excise on sugar produced by coloured labour that paid on sugar produced by white labour, should be abolished. I am afraid that when it is abolished, there will be inducement for coloured persons in all other parts of Australia to Queensland, where they will make one large settlement, instead of being distributed throughout the Commonwealth, and in that way may constitute a grave social evil. I think that would be most unfortunataFor that reason, I regret very much .theaction of the Senate. I think that the wholematter might be considered with much greater advantage when the Braddon sectionexpires. We should then be free to impose a much higher Excise duty than is now levied. That would go a long way towards removing the financial difficultieswith which we are at present faced, and discouraging the employment of coloured labour in the industry. I think that the Government might indicate the course they intend to take with regard to the Sugar Excise Bill now before the Senate. Manifestly, if there is to be a sliding scale in respect of the bounty, there must also be a sliding scale in respect of the Excise dutyWe should not lose our grip on this Bifl 1 until we know what is going to be done with the Excise duty. The two Bills are interdependent, and it is important that we should not impose an Excise duty of £ 4 per ton, after the full bounty has ceased to operate. No other industry in the community is subject to any such impost, excepting, of course, the beer and tobacco industries, which, however, do not stand' upon the same footing as sugar growing. I should never agree to an Excise duty upon sugar, and I doubt whether I should agree to such a large import duty, but for thenecessity of doing something to encouragethe employment of white labour. We are entitled to know what attitude the Government intend to take with regard to thesugar excise before we allow this Biil to' paydisappear from the business-paper.",15
28,Sir WILLIAM LYNE,PUBLIC SERVICE,The Government have already taken action with a. view toadjust the relations between the two Bills.,15
29,Mr WATSON,PUBLIC SERVICE,That is only proper.,15
30,Mr DUGALD THOMSON,PUBLIC SERVICE,The honourable 1 be adjusted after the sliding scale begins lo- operate.,15
31,Mr WATSON,PUBLIC SERVICE,"The original proposition, dismade by the right honourable member for paid Adelaide when he was Minister of Trade and and Customs was that the Excise and therebate, as it was then termed-no w the bounty-shoul d be coterminous. Now thean Senate has brought into operation a sliding scale, which will begin to operate at thegravitate to end of four years. - Mr DUGALD THOMSON - The honourable - member means that there should be a sliding Excise to correspond with a sliding (bounty.",15
32,Mr WATSON,PUBLIC SERVICE,"Yes , and that the Ex<cise duty should disappear at the end of the bounty period, leaving the whole matter for reconsideration by Parliament at that stage.",16
