speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"House of Representatives. Monday, k December, 1933.",12
1,Mr SPEAKER,Unknown,"Hon. 0. H, Mackay) took the chair at 2.30 p.m., and read prayers. HOUR OF MEETING. Motion (by Mr LYONS) agreed toThat the House, at its rising, adjourn until tomorrow at 2.30 p.m. NA APPARATUS.",12
2,Mr BLAKELEY,IMPOBTE DELECTRICAL,"Is the Minister for Trade and Customs aware that cheap dangerous, uubranded electrical apparatus is being imported? In view of its dangerous nature, what power has the Department of Trade and Customs to prevent its importation?",13
3,Mr WHITE,IMPOBTE DELECTRICAL,"Unde r the Commerce (Trade Descriptions) Act the marking of imported goods can be made mandatory. About four months ago, under amended regulations, action was taken to enforce the marking of all imported electrical fittings, the particulars to include wattage and voltage, from the 1st February next. It is necessary to give six months notice of such action.",13
4,Mr BEASLEY,IMPOBTE DELECTRICAL,"Thos e who are connected with the electrical trade believe that that is not sufficient. ""Will Minister see that all imported electrical appliances are subjected to a prescribed insulation test, so that the dangers that arise from the use of faulty apparatus may be obviated, and its importation prevented?",13
5,Mr WHITE,IMPOBTE DELECTRICAL,"I realise that the use of faulty electrical fittings may be dangerous. If the new regulations are not adequate, I shall be glad if the honourable member will furnish me ""with suggestions for their improvement. - AUTOMATIC TELEPHONE EXCHANGES.",13
6,Mr THOMPSON,IMPOBTE DELECTRICAL,"""Will the Postmaster-General state whether the sites of the proposed new automatic telephone exchanges are to be in the larger country towns, or in the smaller rural centres which are now working on manual cerning exchanges ? ' Mr ARQHDALE PARKHILL - It is intended to place 30 of these exchanges in smaller centres, where the subscribers to an exchange number 40 or 50. ALCOHOLIC BEVERAGES. NA STATES OF AMERICA.",13
7,Mr HAWKER,QUOTA ON IMPOSTS INTO THE UNITED,"Has the Minister for Trade and Customs official knowledge in confirmation of today's press report that the quota arrangements made by the United States of America with respect to imports of alcoholic beverages following the repeal of the prohibition law, being based on the percentages imported from different countries prior to the enforcement of prohibition, will exclude Australian wines and other alcoholic beverages, of which at that time there were no exports to America from Australia? If that be the case, will the honourable gentleman urge the Cabinet to represent to the Government of the United States of America the unfairness of excluding imports from Australia, in view of its unfavorable trade balance with America?",13
8,Mr WHITE,QUOTA ON IMPOSTS INTO THE UNITED,"I have no official information on the matter referred to by the honourable member, but I shall see whether Australia's trade with the United States of America in wines and other the alcoholic beverages may he increased. INVALIDAND OLD-AGE PENSIONS ACT.",13
9,Mr DEIN,QUOTA ON IMPOSTS INTO THE UNITED,"Wil J the Prime Minister state whether it is correct, as the Sydney Labor Daily affirms, that the Government has been forced by the Lang group in this House to amend the Invalid and Old-age Pensions Act; or is that merely another characteristic statement of this journalistic Tom Pepper ? Mr L""!fONS - I have to accept responsibility for many things, hut thank goodness they do not include the statements published by the Sydney Labor Daily. NA NEWCASTLE.",13
10,Mr WATKINS,TELEPHONE RATES A T,Is the Postmaster General yet able to make a statement conthe application to Newcastle of the proposed reductions of telephone,13
11,Mr ARCHDALE PARKHILL,TELEPHONE RATES A T,"I shall obtain the information in the course of the day, and advise the honourable member by letter. NA MARKETIN G SCHEME.",13
12,Mr WATSON,DAIRY PRODUCE,"Shoul d a State refuse to participate in the proposed dairy produce' marketing scheme, will the prescribed authorities administering that scheme have power to issue licences covering the export of butter to that State and fixing the price of it, even though the local production may be sufficient for the requirements of the State?",13
13,Mr STEWART,DAIRY PRODUCE,"The bill provides that, even though a State may not participate in this'legislation, its terms will apply to individual traders within that State. It will also be possible for dairy products to be transported into dissenting States so long, of course, as the traders transporting such goods conform to the requirements of the federal law. SALES TAX ON FLOUR,",14
14,Mr HOLLOWAY,DAIRY PRODUCE,"In the event of a sales tax being imposed upon flour,, and being followed by an automatic rise in the price of bread and other wheaten commodities, will the Prime Minister take action to have a simultaneous adjustment of the basic wage? If he cannofcdo that, at this stage, will he see that when the adjustment is made it will be retrospective to the date of the operation of the new law?",14
15,Mr LYONS,DAIRY PRODUCE,"No one knows better than the honourable member himself that the Government has no power to carry out his suggestion. He knows that if the cost of living rises, or any special stances arise, the workers through their organizations are free to make application to an industrial tribunal to deal with those circumstances. Even had the Government power to do as the honourable member suggests, it would take no action whatever to interfere with any arbitration court.",14
16,Mr JAMES,DAIRY PRODUCE,"In view of the claim that the flour tax proposals of the Government will result in an increase of the price of bread to the public, will the Prime Minister consider the appointment of a price-fixing commission to inquire into the price of bread? If the Constitution will hot permit of such action, will the right honourable gentleman seek the co-operation of the various States to safeguard the public against any rise in the price of bread?",14
17,Mr LYONS,DAIRY PRODUCE,"I have previously reminded the honourable member that the proposals of the Government will have less effect in raising the price of bread than would the proposals of his own party, were they given effect. This Government has no power whatever to deal with an increase in the price of bread. As this legislation will operate only for about seven months, it would be utterly impossible to obtain the authority of the State Parliaments or of the people generally to carry out the honourable member's suggestion in sufficient time.",14
18,Mr MAKIN,DAIRY PRODUCE,The flour tax must operate unjustly upon the poorer sections of the community.,14
19,Mr LYONS,DAIRY PRODUCE,"I remind the honourable member that the policy bf his party,, which is to fix a payable price for wheat grown in Australia, could not be given effect without increasing the price of bread to the consumers.",14
20,Mr BAKER,DAIRY PRODUCE,"In order to prevent an increase of the price of bread and other foodstuffs, unless such increase is proved to be justified, will the Prime Minister ask the State Governments to transfer their powers of price fixation to this Parliament as provided for under placitum 37 of section 51 of the Constitution?",14
21,Mr LYONS,DAIRY PRODUCE,"I understand that the New South Wales Government has held an inquiry into this matter, and other States would be free to take such action, within their own - powers, but I wish to circum- make it clear that the Commonwealth Government would do nothing to increase the price of bread unless it v/as absolutely essential. Honourable members who wish to get more money for the wheat-growers cannot perform a miracle in order to make that possible. If this assistance is to be given, the extra money must come from the Australian community. Therefore, I am hoping and trusting that the trade itself will not take from the people more than is absolutely essential to pass on to the primary ' producers the benefit to lie conferred on them by the bill. To pretend to the consumers of bread that we could prevent part of the burden being passed on to them would be only to mislead them. As I pointed out in introducing the bill providing for a flour tax, the Government is merely, passing on to the consumers the cost of one-half of the benefit that will go to the growers. The other half will be contributed this year and next year by those who pay federal taxes. Mr JOHN"" LAWSON - Is it not a fact that when Mr Lang was in office in New South Wales he imposed a flour tax amounting to £2 15s. a ton?",14
22,Mr LYONS,DAIRY PRODUCE,"That is a fact, and it is the only instance in Australia of the imposition of such a tax.",15
23,Mr JAMES,DAIRY PRODUCE,Does the right honourable gentleman claim that the price of bread increased as the result of that tax?,15
24,Mr LYONS,DAIRY PRODUCE,"The price of bread is up because of it. If that tax were entirely removed tomorrow, the price of bread in New South Wales would be reduced.",15
25,Mr MAKIN,DAIRY PRODUCE,"In view of the decision of the Adelaide Master Bakers Association to increase the price of bread by Id . per 2-lb. loaf, and as this increase is approximately 25 per cent, more than the amount set down as the tax to be imposed by this Government on the commodity which is used in the making of bread, what action does the Government intend to take to safeguard the public from exploitation as the result of legislation of this character?",15
26,Mr LYONS,DAIRY PRODUCE,"The honourable member has said that the bakers are, apparently, asking for more than they are entitled to as the result of the flour tax, but that remains to be proved. The calculations made particularly by the Treasury and the Department of Commerce indicate that the tax imposed by the Commonwealth will not involve an increase of more than Id . a loaf in the price of bread.",15
27,Mr JAMES,DAIRY PRODUCE,How will you stop it?,15
28,Mr SPEAKER,DAIRY PRODUCE,Honourable members must not interject when replies are being given to questions.,15
29,Mr LYONS,DAIRY PRODUCE,"It has been pointed out already that the Commonwealth Government has no power in regard to this matter. All that the Government is proposing, and all that the Parliament, I hope, will do, is to provide some assistance for the growers and to pass half of it on to the consumers.",15
30,Mr MAKIN,DAIRY PRODUCE,The Government will not allow exploitation?,15
31,Mr LYONS,DAIRY PRODUCE,Not if we can help it.,15
32,Mr JAMES,DAIRY PRODUCE,"The Prime Minister did not answer the latter part of my question. I asked whether-, as the Government had said that the Constitution would not permit it to set up a price fixing organization, it would seek the cooperation of the various States for the purpose of safeguarding the public against an unnecessary increase of the price of bread ?",15
33,Mr LYONS,DAIRY PRODUCE,"If the States find that any section is being exploited, they have power to take action in this matter, and the Government proposes to leave that matter in their hands. SANDY BAYRIFLE RANGE.",15
34,Mr BLACKLOW,DAIRY PRODUCE,"In view of the negotiations which are proceeding between the Defence Department and the Hobart City Council, concerning the removal of the Sandy Bay rifle range, has the Assistant Minister any information to give the House as to the progress that has been made?",15
35,Mr FRANCIS,DAIRY PRODUCE,I am pleased to be able to state that it is hoped that before the end of the year the Defence Department will be able to give a definite reply to the Hobart City Council's proposal. TRADE WITH BELGIUM.,15
36,Mr NAIRN,DAIRY PRODUCE,"Does the Minister for Trade and Customs expect to be in a position before the House rises, to make a statement concerning the outcome of the negotiations with Belgium on the subject of trade embargoes?",15
37,Mr WHITE,DAIRY PRODUCE,"The Government hopes to be able to make a statement on the Belgian situation before the House rises. TARIF F BOARD REPORTS. GLASS-MACHINES , MACHINE TOOLS AND APPLIANCES-COTTON .",15
38,Mr GIBSON,DAIRY PRODUCE,"Has the Minister for Trade and Customs yet received the report of the. Tariff Board on the glass industry? If he has not, will he endeavour to make it available before Parliament goes into recess?",15
