speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"Thursday, 5 April 1979",16
1,Mr SPEAKER,Unknown,"Rt Hon. Sir Billy Snedden) took the chair at 10.30 a.m., and read prayers.",16
2,The Clerk,Unknown,"Petition s have been lodged for presentation as follows and copies will be referred to the appropriate Ministers: To the Honourable Speaker and Members of the House of Representatives in Parliament assembled. The petition of the undersigned citizens of Australia respectfully showeth: That restoration of provisions that applied prior to the 1978-79 Budget is of vital concern to offset the rising cost of goods and services. The reason advanced by the Government for yearly payments 'that the lower level of inflation made twice-yearly payments inappropriate' is not valid. Great injury will be caused to 920,000 aged, invaUd, widows and supporting parents, who rely solely on the pension or whose income, other per week. Once-a-year payments strike a cruel blow to their expectation and make a mockery of a solemn election pledge. Accordingly, your petitioners call upon their legislators to: 1. Restore twice-yearly pension adjustments in the Autumn session. 2. Raise pensions and unemployed benefits above the poverty level to 30 per cent of average weekly earnings. And your peutioners as in duty bound will ever pray, by Mr Armitage, Dr Edwards and Mr Martin. Petitions received. Taxation: Tax Agents To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble peuuon of Bongiomo & Associates respectfuUy showeth: That current requirements of the Commissioner of Taxation for the lodgement of Income Tax Returns by Registered Tax Agents restricts the trading of such agents to a period of 8 months in anyfiscalyear. The demands by the Commissioner for lodgement ofincome Tax Returns before 28 February following the tax year is an imposition and a restriction, Umiting the trading from twelve to eight months. Your Peuuoners therefore humbly pray that the law should be amended to permit any registered tax agent to trade for a full year and lodge Income Tax returns to the close of the respective tax year. And your peuuoners as in duty bound will ever pray, by Mr Aldred. Petition received. To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled: The humble petition of the undersigned citizens of Australia respectfuUy showeth: That we the undersigned, having great concern at the way in which children are now being used in the production of pornography call upon the Government to introduce immediate legislation: 1. To prevent the sexual exploitation of children by way of photography for commercial purposes; PETITIONS 2. To penalise parents/guardians who knowingly allow their children to be used in the production of such pornographic or obscene material depicting children; 3. To make specificaUy illegal the importation, publication, distribution and sale of such pornographic childabuse material in any form whatsoever such as magazines, Pensions novels, papers or films; 4. To take immediate poUce action to confiscate and destroy aU child pornography in Australia and urgent appropriate legal action against aU those involved or profiting from this sordid exploitation of children. of the Social Security Act Your petitioners therefore humbly pray that your honourable house wiU protect aU children and immediately prohibit pornographic child-abuse materials, publications or films. And your petitioners as in duty bound will ever pray, by Mr Dobie. Petition received. than the pension, is $6 or less Pensioners: Home Maintenance Loans To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled the petition of the undersigned citizens of Australia respectfully showeth: That it is necessaiy for the Commonwealth Government to renew for a further term of at least 3 years the States Grants (Dwellings for Pensioners) Act 1975/77, renewed for one year expiring on the 30th June 1978. The demand for dwelUngs has not slackened as the waiting list (all States) of 12,060 single and 4,120 couples as at the 30th June 1977, showeth. Your petitioners respectfully draw the attention of the Commonwealth Government to the Repon of the Committee of Inquiiy into Aged Persons' Housing 1975 under the Chairmanship of the Rev. K. Seaman (now Governor of South Australia) which recommended additional funds to State housing authorities to meet the demand for low-rental accommodation in the proportion of $4 for $1 with the proviso that the States do not reduce their existing expenditure and That the Act include married pensioners eligible for supplementary assistance and migrants as specified by the Seaman Repon and that particular consideration be paid to the special needs and requirements of the prospective tenants in the location and design of such dwellings. Furthermore, your petitioners desire to draw the Government's attention to the hardship of many pensioner home owners caused by the high cost of maintenance. The Social Security Annual Repon 1976-77 shows that 24.6% or 283,000 home owning pensioners, have a weekly income in excess of the pension of less than $6 per week. Your petitioners strongly urge the Commonwealth Government to establish a fund whereby loans can be made to means tested pensioners for the purpose of effecting necessaiy maintenance to their homes. Such a loan to be at minimal interest rates sufficient to cover administrative costs Child Pornography and to be repaid by the estate upon the death of a single pensioner before probate or upon the death of the surviving spouse in the case of married pensioners or where two pensioners jointly own the dwelUng. Administration to be carried out by local government bodies. And your peutioners as in duty bound will ever pray, by Dr Edwards. Petition received. To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble petition of the undersigned citizens of Australia respectfully showeth: (1) That in his 1977 election speech the Prime Minister supported by a majority of Members of the House of Representatives gave an undertaking that in exchange for electoral suppon he would guarantee the retention of twiceyearly adjustments of social security pensions in accordance with movements in the Consumer Price Index. (2) That this undertaking of the Prime Minister and a majority of the Members of the House of Representatives has been repudiated causing severe hardship to pensioners. Your petitioners therefore humbly pray that the House of Representatives will take action to require those Members who have not honoured their undertaking, to resign from the Parliament in order that the people of Australia can choose Members who will represent the wishes of the electors and who wiU honour any undertakings they gave. And your petitioners as in duty bound will ever pray, by Mr Holding. Petition received. Sydney (Kingsford-Smith) Airport To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble petition of we the undersigned fully showeth: That we oppose any expansion of the facilities of Kingsford Smith Airport which entails the building of a new runway as it would have the following detrimental effects: (1) The loss of one mile of waterfront including Lady Robinson's Beach and a huge part of Botany Bay. (2) The loss of up to 1,230 remaining neighbouring properties. (3) The creation of more noise pollution in the area. (4) The creation of more traffic congestion on streets leading to and from the airport. (5) The forced diversion age to the ecology of the area. Your petitioners therefore humbly pray that the Federal Government will not consider satisfying the airpon needs of Sydney by extending Kingsford-Smith Airpon and that any decisions related thereto are portunity for adequate consultation with any community particularly affected. And your petitioners as in duty bound will ever pray, by Mr Les Johnson. Petition received. To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble petition of we the undersigned citizens of Australia respectfully showeth that: The proposed introduction of a Retail Turnover Tax will1. Impose an intolerable burden on retailers-seriousl y inconvenience shoppers and prove difficult and expensive to administer. 2. Increase the cost to consumers of clothing, food and other goods essential to maintenance of an adequate Pensions standard of Uving. 3. Place a disproportionate tax burden on Australians least able to pay. Your petitioners humbly pray that the Members in the House assembled will not introduce indirect tax measures such as a Retail Turnover Tax or the administratively more difficult Value Added Tax as to do so would exacerbate the inequaUties in our taxing system. And your petitioners as in duty bound will ever pray, by Mr Les Johnson. Petition received. Seals To the Honourable the Speaker and Members of Parliament. We the undersigned citizens of Australia respectfully ask the Australian Government to make known to the Canadian Government our disgust and horror of the inhumane slaughter of the Harp seal pups, and equal disgust of anyone who condones such practice. And your petitioners as in duty bound will every pray, by Mr Lucock. Petition received. Aboriginal Communities: Hostels To the Honourable the Speaker and Members of the House ofRepresentatives in Parliament assembled, Canberra. citizens of Australia respectWe, the Aboriginal people of MorweU and Bairnsdale Gippsland co-operative organisations representing the Aboriginal citizens, want Aboriginal Hostels Limited, Canberra to hand back to usThe Lionel Rose Hostel and Community Centre at Morwell and Meerindoo Hostel, Bairnsdale for full use by the local aboriginal communities. houses and a drop in value of And your petitioners as in duty bound will ever pray, by Mr Ruddock. Petition received. of Cook's River and further damNA BHUTTO, FORMER PRIME MINISTER NA",16
3,Mr MALCOLM FRASER,OF PAKISTAN," I move: not taken before there is an opThat this House notes with regret the death on 4 April 1979 of Mr Zulfikar Ali Bhutto, formerly Prime Minister of Pakistan. Mr Bhutto ruled Pakistan from 1971 to 1977. He was executed after last minute appeals for clemency were rejected by the Pakistan authorities. A Taxation petition to review his case had been rejected by the Pakistan Supreme Court on 24 March. Honourable members wdl be aware that many countries and international organisations over the past 12 months have appealed for clemency for Mr Bhutto on humanitarian grounds. Australia made an appeal in April 1978 and again in February of this year. There are many divisions and conflicts within nadons, but we do not beheve that the execution of pohtical leaders can contribute to resolving these conflicts. Rather itrisksmaking them deeper and more enduring. Certainly Mr Bhutto was a controversial figure. He was prominent internationally because of his energetic espousal of issues concerning developing countries. I know he had warm support from many Third World nations, a number of whose leaders had spoken to me about his impending fate, asking whether there was more that could be done to avert it. Whatever views may be held about his attainments during his term as his country's leader, we regret that the appeals for clemency were not accepted and we deeply regret his execution. Mr Speaker, I ask that you convey to the members ofhis family the condolences of this House. Honourable members-Hear ! hear!",17
4,Mr HAYDEN,OF PAKISTAN,"Zulfika r Ali Bhutto was a brilliant lawyer and pohtician, a former Prime Minister of Pakistan, latterly treated as a felon, and most cently executed in what many have described as judicial murder. That is something on which I cannot deUberate and I believe that no other honourable member in this House can do so properly. We are too far removed from the scene and events, and we know too Utde about them. All one can observe is that there were some remarkable shifts by the judiciary and that some say that promotions which occurred subsequendy were not unconnected with services rendered. Dead, Mr Bhutto is a more potent political force than he was aUve. There is undoubted evidence that his charismatic appeal which too was undoubted, had been contracting in recent times. His execution, however, catapaults him to the head of domestic martyrs in the pantheistic order of local pohtical heroes in his country. Bhutto's death, the manner of his imprisonment, trial, conviction and execution leave fancause for disquiet. They are matters of the most serious concern not only for Pakistan but for the international community. Bhutto was a flawed national hero. He was arrogant, authoritarian and on all accounts a hopeless economic administrator. He could brutally brush aside those who stood in his way. After all, these are human flaws not unknown in politics in varying degrees even perhaps in this country in some ways in some places at some times, but they cannot be presented in exculpation for Bhutto's ultimate fate. Neither can the presented evidence of his being an accomplice to an alleged murder-a n unusual, and indeed I am told unique, judgment in Pakistan for a person not physicaUy involved in a murder-be accepted as sufficient justification for the ultimate judgment passed upon Bhutto. It is a matter of melancholy regret that appeals for clemency which came from throughout the international order were rejected by the Pakistan Government. The Opposition joins with the Prime Minister (Mr Malcolm Fraser) in expressing condolences to the surviving members of Zulfikar AU Bhutto's famUy.",18
5,Mr LES JOHNSON,OF PAKISTAN,"I rise simply to place on record the fact that in 19741 had the honour to lead a pariiamentary delegation to Pakistan which was received by Mr Bhutto. I think it is appropriate for me to say on behalf of the members of that delegation that we were enormously impressed with the dignified bearing of this man, his demeanour, the hospitaUty that he extended to the parhamentary delegation and the very great interest and concern he expressed about our country. I am sure those of us who spent in excess of an hour with him on that occasion must treat the event of yesterday with re- the utmost significance and importance. We mourn his passing and sincerely hope that Pakistan wiU not suffer as a consequence.",18
6,Mr HODGMAN,OF PAKISTAN,"History will probably recaU that the death in Rawalpindi yesterday of Zulfikar AU Bhutto was most notable for its tragic futility. The predetermined ending of any human Ufe is always a matter of profound regret. Mr Bhutto's death ended the distinguished though controversial career of a brilliant scholar, lawyer, politician and statesman. It is not my right to pass a detaUed judgment on his achievements or his faults. The distinguished Oxford academic, Professor H. R. Trevor-Roper unhesitatingly described Mr Bhutto as one of the most brilliant students he had ever known, and it is not without significance that the first official guest invited to Pakistan by Mr Bhutto after he was elected Prime Minister was his old mentor Professor Trevor-Roper. The controversy over Mr Bhutto's guUt or innocence, the impartiaUty or otherwise of the proceedings at his trial and subsequent appeal hearings, and the treatment of the man during his 20-month incarceration which ended so abruptly yesterday are matters which only history will resolve. The sadness of the whole affair is that the voices of countless nations and world leaders were not, in the ultimate, heard, nor was their counsel heeded. I am proud of the fact that Australia, through its distinguished Mmister for Foreign Affairs, did speak out loudly and clearly on this issue and that today, in sadness, this Parliament formally records its deep regret at the passing of Zulfikar Ah Bhutto.",18
7,Mr BARRY JONES,OF PAKISTAN,"Bhutto's execution is a black mark in history-on e more act of mindless violence. If there is one lesson that history should teach us, it is that controversial political and social issues cannot be resolved by violence-that violence begets more violence. Mr Bhutto was certainly no saint, plaster or otherwise, but he deserved a better fate than the one that he met yesterday. Also, it is not just a matter of thinking of Bhutto himself, but of aU of the hundreds of other Pakistanis who have also been executed-no t all of them well known, their trials not subject to the same kind of scrutiny of world attention that Mr Bhutto's trial and execution has had. We need to be very concerned about the situation in Pakistan, and hi many countries of the Middle East and elsewhere in which violent penalties are exacted. The circumstances of his trial and execution, and particularly the humiliations heaped on Mr Bhutto in his last months, suggest that he has been the victim of judicial murder. I conclude by reminding the House of the words that I quoted last year when the honoursubjected able member for MCMillan (Mr Simon) and I oU proposed for discussion a matter of public portance concerning political prisioners, those John Donne: And therefore never send to know for whom the bell tolls for the.",19
8,Mr SPEAKER,OF PAKISTAN,I ask honourable members to signify their approval of the motion by rising their places. Honourable members having stood in their PJT places,19
9,Mr SPEAKER,OF PAKISTAN,I thank the House. NA,19
