speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"i^ouse of l&epresrntatibEs. Thursday, 18 September, 1919.",21
1,Mr SPEAKER,Unknown,"Hon. W. Elliot Johnson) took the chair at 2.30 p.m., and Tead prayers. WAR 'SERVICE HMS.",21
2,Mr GREGORY,Unknown,"Will the Minister representing the Minister for Repatriation avail himself of the earliest opportunity to make a statement as to the work of the Repatriation Department in the building of homes for returned soldiers in each of the States, and more particularly as to whether the Department. is discouraging returned soldiers from erecting their own. homes ?  the honourable member's question under the notice of the Minister, - and, if possible, will supply an answer tomorrow.",21
3,Mr TUDOR,Unknown,"Will the honourable gentleman also have specific inquiries made as to whether returned soldiers, some of whom have heen gassed, have been prevented from attaching shop premises to such dwellings?  NA ALLOWANCE. ARRANGEMENTS DT SYDNEY.",21
4,Mr BRUCE SMITH,PAYMENT OF SUSTENANCE,"Is the Minister representing the Minister for Repatriation aware that in Sydney returned soldiers who wish to obtain their sustenance allowance have to present themselves every day at the offices of the Repatriation Department, where there are sometimes from 1,500 to 2,000 men present, and that occasionally they have to spend half a day in securing enrolment ih order-to obtain, the allowance? - Will the Department substitute some other method by which the men. will he able to show that they are on the spot and ready to receive the - money to which they are entitled?  honourable member's question under the notice of the Minister for Repatriation (Senator Millen). I believe that, as the honourable member states, those drawing sustenance allowance have to apply daily for it. I shall ascertain whether some new arrangement can be made under which it will be no longer necessary for the men to attend daily.. CAPTURED GERMAN"" SHIPS.",21
5,Mr MATHEWS,PAYMENT OF SUSTENANCE,"Will the Minister in charge of shipping inform the House who will be the ultimate owners of the interned German ships now controlled by the Commonwealth?  offhand with a bald inquiry of this racter. If the honourable member would put his question on the notice-paper, should have something to go upon.",22
6,Mr MATHEWS,PAYMENT OF SUSTENANCE,"Shortl y put,- is the Commonwealth to own them, or are they a good deal about it to pass over to some private firm-?  be addressed to the Prime Minister. am not in a position to answer offhand, but my Leader will be able to give honourable member some information on industrial disputes, and droughts. the subject. The matter is one that affects our revenues, and we have to consider whether in the future we may rely upon be done. these vessels as a source of income. SENATE ELECTIONS: METHOD OE VOTING.",22
7,Mr HIGGS,PAYMENT OF SUSTENANCE,"Has the Minister for Home and Territories made up his comtember, posite mind as to the method of voting be adopted for elections to the Senate?",22
8,Mr GLYNN,PAYMENT OF SUSTENANCE,"I am afraid that the honourable member is again asking me a question of policy, and not one concernPrime ing my own personal opinion. T therehave fore cannot answer it. SUGAR SHORTAGE IN WESTERN article AUSTRALIA.",22
9,Mr BURCHELL,PAYMENT OF SUSTENANCE,"In view of the reported shortage of sugar in Western Australia, and the fact that local manufacfor turers there are thereby being seriously inconvenienced, will the"" Minister for Trade and Customs state what action is of potash? being taken to forward supplies to that State?",22
10,Mr MASSYGREENE,PAYMENT OF SUSTENANCE,"Every step is being taken to enable a supply of refined sugar to he sent to Western Australia as soon possible. Owing to the recent disturbance it was impossible to obtain from Northern Queensland supplies of raw sugar. I hope, however, that within a very short time a supply of refined sugar will be available for shipment to Western Australia. P. W. HUGHES LTD. AND THE WOOL COMMITTEE.",22
