speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"Tuesday, 16 March 1976",18
1,Mr SPEAKER,Unknown,"Rt Hon. B. M . Snedden, To the QC.) took the chair at 2.15 p.m., and read Australia prayers.",18
2,The Clerk,Unknown,"Petition s have been lodged for the presentation as follows and copies will be referprivatelyreassuringIndonesia red to the appropriate Ministers: To the Honourable the Speaker and Members of the House ofRepresentatives in Parliament assembled: The petition of the undersigned citizens of That the plan to obliterate the traditional weights and measures of this country is causing and will cause widespread inconvenience, confusion, expense and distress. That there is no certainty that any significant benefits or indeed any benefits at all will follow the use of the new weights and measures. That the tradidonal weights and measures satisfactory. Your pedtioners therefore pray: That the Metric Conversion Act be repealed, and that the Government take urgent steps to cause the traditional familiar units to be restored to those areas where the greatest inconvenience and distress are occurring, that is to say, in meteorology, in road distances, in allied trades, in the printing trade, and in retail trade. And your petitioners as in duty bound will ever pray.  Jull. Petitions received. Australian Capital Territory: Self-Government ment To the Honourable the Speaker and Members of Representatives in Parliament assembled: The humble petition of the undersigned residents of the Australian Capital Territory respectfully showeth(1) That Australian citizens are already governed to an excessive extent, and to introduce machinery to provide self government for the Australian Capital Territory would exacerbate this situation. (2) That the cost of providing self-government for Australian Capital Territory will have to be borne by residents of the Australian Capital Territory, and that selfpetition government should not be instituted without consulting means of a referendum those who will have to bear the cost. (3) That any provision of meaningless unless it received popular support from the residents of the Australian Capital Temtory, and the measure of the extent of this popular suppon could be obtained by means of a referendum. Your petitioners therefore humbly urge the Government not to proceed with the introduction of self-government for the Australian Capital Territory until the residents of the Australian Capital Territory are consulted, by means of a referendum, on the issue. And your petitioners as in duty bound will ever pray. by Mr Fry and Mr Haslem. Petitions received. East Timor Speaker and the House ofRepresentatives in Parliament assembled. The Petition of the undersigned of respectfully showeth that many Australians are concerned at the presence of Indonesian regular and irregular troops in East Timor, in defiance of United Nations PETITIONS General Assembly and Security Council resolutions and at apparent equivocal policy of the Australian Government, of pubUcly supporting self-determination for East Timor but of its ""understanding"" and continued economic and military aid. Metric System We your petitioners do therefore humbly pray that the Australian Government: (1) demand an immediate ceasefire and the withdrawal of Indonesian troops; Australia respectfully showeth(2) sponsor and supply urgently needed medical and humanitarian aid through the International Red Cross to Fretilin controlled areas; and (3) withdraw aU military aid to Indonesia. And your petitioners as in duty bound do ever pray, are eminently by Mr Hayden and Mr Macphee. Petitions received. Cadet Corps and To the Honourable, the Speaker, and Members of the House of Representatives in Parliament assembled. The humble Petition of the undersigned citizens of Australia respectfully sport, in the building and showethThat the three service cadet forces have great value in the development of the youth of Australia. That the disbanding of the cadet forces will disperse accumulated expertise and interest of those involved, and in some cases negate the enorts of many people over many years. Your petitioners therefore humbly pray that the Governwill reconsider its decision and that the Government of the House will reinstate the cadet forces. And your petitioners as in duty bound will ever pray, by Mr Braithwaite. Petition received. Mossfiel Primary School the To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled: The humble of the undersigned citizens of Australia respectfully by showeth that we wish to protest most vigorously about the lack of action in connection with the construction of a second wing of classrooms at Mossfiel Primary School, Werribee, self-government would be Victoria. Your Petitioners therefore humbly pray that the House best urge the Government to provide immediate funds to the State Government of Victoria for the construction of a second wing of classrooms at Mossfiel Primary School, Werpray that the House ribee, Victoria. And your petitioners as in duty bound will ever pray, by Dr JF CAIRNS. Petition received. Overseas Development Assistance To the Speaker and the House ofRepresentatives in Parliament assembled. The Petition of the undersigned citizens of Australia respectfuUy showeth that many Australians are concerned at the announced decision by the Australian Government toreducethe 1975/76 Overseas Development Assistance vote by $21 miUion, and by the aboUtion of the Australian Development Assistance Agency. We your petitioners do therefore humbly pray that the Australian Government1. as a matter of urgency,reversethe decision to cut the 1975/76 Overseas Development Assistance vote, so as to ensure that the full amount appropriated by Parliament for Overseas Development Assistance is spent this nnancial year to meet the pressing needs of those in the developing countries; 2. reaffirm Austraha's commitment of Overseas Development Assistance being a minimum of 0.7 per cent of GNP, and 3. establish a fully independent statutory authority to administer Australia's official Overseas Development Assistance. And your petitioners as in duty bound will ever pray, by Mr Chipp. Petition received. Income Tax: Water and Land Rates To the Honourable the Speaker and Members of the House negotiations of Representatives in Parliament assembled. The humble petition of the undersigned citizens of Australia respectfully showeth: That the undersigned persons believe thatThe $300 limit on income tax deductibUity in respect of sonalresidentialland and water rates is unrealistic and Discriniinimatory income tax penalty. Your peddoners therefore humbly pray that the Government will take steps to see that the aforesaid Umitation is removed entirely or substantiaUy increased. And your pedtioners as in duty bound will ever pray, by Mr Connolly. Petition received. To the Honourable Speaker and Members of the House of altogether, Representatives in Parliament assembled. The humble PettraUan ition of the undersigned citizens of Australia respectfuUyleged showeth: That if existing income tax laws were amended so that the State Governments had the power to vary the amount of personal income tax there would be vanous undeInsurance sirable consequences, including (a) it would be grossly disadvantageous for Tasmania their and Tasmanians and would widen rather than lessen sioner the differences in standards of Uving amongst States; (b) it would become difficult ful program of personal tax mitment by the Australian Government to tax indexation would mean Utde if State Governments themselves had the ability to increase income tax rates; (c) it would open the way for State Governments to steadily increase income taxes and would therefore tend to increase the proportion of overall taxation Australia raised through income taxes; (d) it would mean that the Australian Government would lose the complete control that it has at present over the pattern of marginal income tax rates: this would further compUcate the already difficult task faced by the Australian Government of formulating a wages and industrial relations policy which will meet with wide community acceptance; (e) it would compUcate the overall task of economic management for the Australian Government if State Governments had the discretion to move income taxes in an opposite direction to that judged desirable on econonuc grounds. Your petitioners therefore humbly pray that powers to vary income tax will not be given to State Governments and that a system of double taxation will not be imposed on incomes. And your petitioners as in duty bound will ever pray, by Mr Hodgman. Petition received. Health Insurance The Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble petition of the undersigned citizens of Australia respectfully showeth: That the Australian Medical Association and its affiliate, the Australian Association of Surgeons, intends entering into with the Hon. the Minister of State for Health, to alter the Health Insurance Act and regulations. That such alterations as proposed are purely the wishes of a minority group seeking privileges inrelationto the billing perof patients, and particularly pensioners and less well off is a members of the Australian community, which are detrimental to the spirit of the Act and contrary to the whole intention of the legislation. That the Association of Surgeons has demonstrated by its refusal to treat pensioner patients in designated community and other hospitals providing beds under section 34 of the said Act, that its agitation against medibank is purely the reaction of a selfish vested minority, and not in the best interests of the patients. That the efforts by the Association of Surgeons to undermine medibank by seeking to negotiate changes is the thin Income Tax edge of the wedge to dismantle the Health Insurance Act' an action which will not be tolerated by the Auscommunity in general and the pensioners, less priviand disadvantaged members of society in particular. . Your Petitioners therefore ask that the Australian Parliatotal ment refuse to countenance any changes to the Health Act, and particularly those sought by influential minority interests who have demonstrated particularly by actions in refusing to cooperate in the treatment of penpatients in hospital, that they do not have the interests the and welfare of patients as their prime concern. And your petitioners as in duty bound will ever pray. to ever introduce a successindexation since a comby Mr Jacobi. Petition received. Pharmaceutical Benefits: Milk Substitutes To the Honourable the Speaker and Members of the House ofRepresentatives in Parliament assembled. We, the underin signed citizens of the Commonwealth of Australia by this our humble Petition respectfully showeth: 1. Thatreductionof the age limit from six years to eighteen months for pauents eligible to receive cows milk substidouble tutes as a pharmaceutical National Health Act will cause serious iinancial hardship to many families; 2. That children allergic to cows milk and other dairy products who often include asthmatics and sufferers of respiratory complaints depend on Soya Bean milk such as Isomil or Prosobee as a main source of protein; 3. That the Government's action isresponsiblefor a 100 per cent increase in the cost involving parents in expenditure of $10 per week to sustain desirable protein intake for an affected child; 4. That there is an urgent, humane need torestoremilk substitutes to children up to six years of age to the schedule of Pharmaceutical Benefits. Your Petitioners therefore humbly pray that milk tutes berestoredto the schedule of Pharmaceutical for children up to the age of six years as soon as possible. And your petitioners as in duty bound will ever pray, by Mr Les Johnson. Petition received. Radio and Television Licence Fees; Medibank and Pharmaceutical Benefits To the Honourable the Speaker and Members of the House ofRepresentatives in Parliament assembled. The Petition of the undersigned citizens of Australian respectfully showethThat the new Government during therecentelection campaign, promised lower taxation and more money in people's pockets'. Your Petitioners therefore humbly pray that the House of Representatives will take immediate steps to prevent the introduction of Television and cence fees, the imposition of a tax levy for Medibank introduction of higher charges for drugs dispensed Pharmaceutical Benefits Scheme. And your petitioners as in duty bound will ever pray, by Dr Klugman. Petition received. To the Honourable the Speaker and Members of the of Representatives in Parliament assembled: The Petition of undersigned citizens of Australia respectfully showethThat the existence of a system of double taxation sonal incomes whereby both the Australian Government and State Gvoernments had the power to vary personal income taxes would mean that taxpayers who worked more than one State in any year would(a) be faced with complicated variations in his personal income taxes between States; and (b) find that real after-tax vary from State to State even when gross wages advertised as being the same; and (c) require citizens to maintainrecordsof income earned in each State. Your petitioners therefore humbly pray that a system of income tax on personal incomes be not reintroduced. benefit under the schedules of the And your petitioners as in duty bound will ever pray, by Mr Morris. Petition received. NA",18
3,Mr MALCOLM FRASER,MINISTERIAL ARRANGEMENTS," I inform the House that the Minister  on 7 March to attend the South Pacific Forum in New Zealand and the Fourth Session of the Third United Nations Conference of the Law of substithe Sea in New York, and to lead the Australian Benefits Delegation at the Thirty-second Session of the Economic and Social Commission for Asia and the Pacific which is being held in Bangkok. He is expected to return to Australia on 27 March. In his absence the Minister for Primary Industry (Mr Sinclair) will act as Minister for Foreign Affairs. NA NA Mr E. G. Whitlam-Pursuant to standing order 143,I ask the honourable member for Port Adelaide a question relating to his notice of Radio limotion for General Business Thursday No. 1.1 and the ask the honourable gentleman whether the Elecunder the toral Bill of which he has given notice for the next General Business day would require the pubhc disclosure of funds made available to political parties and candidates",20
4,Mr SPEAKER,POLITICAL PARTY FUNDS,"Order! The question anticipates the debate. I have ruled that a question may be asked understanding order 143 but that Income Tax it must not anticipate debate. Therefore, if the House honourable gentleman asks the honourable humble member who has given notice of a motion a question which requires from that honourable gentleman an answer which will anticipate what of perhe might say in a second reading debate, it is anticipating the debate and is out of order. The in honourable gentleman may ask questions which relate to the day on which the legislation will be or her introduced or, for example, whether the legislation has been drafted or whether the honourable gentleman can see a copy of the legislation. wages for the same job would were Quite clearly the tenor of the question is inviting the honourable member to whom the question is directed to anticipate the debate and his second reading speech. Mr E. G. Whitlam- Mr Speaker, may I ask the honourable gentleman whether the Bill as he is drafting it will cover the pubhc disclosure of funds available to pohtical parties and candidates from trust funds established overseas?",20
5,Mr SPEAKER,POLITICAL PARTY FUNDS,I call the honourable member for Port Adelaide.,21
6,Mr YOUNG,POLITICAL PARTY FUNDS,"The proposed section of the legislauon will be identical with that introduced in the House during the term of the Labor Government. The audit sections are quite specific as to what they will cover, and of course that means that auditors set up by the Government must have full access at all times to accounts",21
7,Mr SPEAKER,POLITICAL PARTY FUNDS,Order! The honourable gentleman is now anticipating the debate.,21
8,Mr YOUNG,POLITICAL PARTY FUNDS,Perhaps I could just give the House an incident that would be covered,21
9,Mr SPEAKER,POLITICAL PARTY FUNDS,"No, the honourable gentleman is not entitled to give an instance.",21
