speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"House of Representatives. Wednesday, S February, 1926.",14
1,Mr SPEAKER,Unknown,"Hon. Sir Littleton Groom) took the chair at 3 p.m., and read prayers. MEMBER SWORN. The Clerk announced the return of the ' writ for the election of a member to represent the Northern - 'Territory, endorsed with the name of Mr Harold George Nelson. Mr NELSON made and subscribed the oath of allegiance. . NEW GUINEA. SALE OF EXPROPRIATED PROPERTIES.",14
2,Mr R GREEN,Unknown,"Tender s have been nailed for the sale of certain .expropriated properties in the mandated territories, and in these tenders certain concessions have been offered to returned soldiers. I ask the Treasurer Whether a tender board has yet been appointed to deal with the tenders that have been veceived ? Has he been asked that returned soldiers shall be represented on the. board ? If not, will lie give the House an assurance that when a tender board is appointed, the returned soldiers will be represented upon it?",14
3,Dr EARLE PAGE,Unknown,"The Custodian of the Expropriated Properties will deal with the tenders when they are received, and there will, therefore, be no need for appointing a tender board to deal with them. MELBOURNE POST OFFICE.",15
4,Dr MALONEY,Unknown,"I ask the Postber's master-General to say whether he thinks that such a rubbishy, tinpot building, is shown in the photograph I submit to venient to do so. him, is a fitting adjunct for Melbourne's chief post office? .",15
5,Mr GIBSON,Unknown,"If the honourable member will look at the photograph to which ht> refers he will see that additions building are being made at the back, I can assure him that when the Elizabeththe street front is added, it will be in keepcasting, ing with the architectural beauty of rest of the building. NA SOLDIERS.",15
6,Mr MARRS,DISMISSAL OF RETURNED,"Will the Postmasterby General make a statement with regard to the persistent rumour that returned soldiers employed at the Sydney General Post Office are to be discharged, places filled by .juniors 1",15
7,Mr GIBSON,DISMISSAL OF RETURNED,"I promise that a state-, ment in connection with' this matter will be made shortly. ' - CLAIMS' AGAINST WOT AN.",15
8,Mr WATKINS,DISMISSAL OF RETURNED,Hav e the claims against the captured ship Wntan yet finalized ?,15
9,Mr BRUCE,DISMISSAL OF RETURNED,Not yet. LATE-FEE LETTER BOXES. SYDNEY RAILWAY STATION.,15
10,Mr MANNING,DISMISSAL OF RETURNED,"I ask the Postreference master-General why the late-fee letter boxes have not been removed from the assembly platform of the Sydney railto way station and placed outside the station, so that persons having late-fee the letters to post shall not be obliged to buy platform tickets?",15
11,Mr GIBSON,DISMISSAL OF RETURNED,"Step s are being taken to insure that what the honourable member suggests shall be done. There has been some difficulty with the New South Wales railway authorities, but wo are endeavouring to overcome it. NA CONSTITUTION.",15
12,Mr FORDE,AMENDMENT OF THE,"I ask the Prime Minuter whether it is the intention of the Government to hold a special session to consider the necessary amendment of the Constitution, and, if so, whent",15
13,Mr BRUCE,AMENDMENT OF THE,"The honourable memquestion refers to a matter of policy, about which the Government will anas nounce its intentions when it is conCONTROL OF BROADCASTING.",15
14,Mr BRENNAN,AMENDMENT OF THE,"I wish to. ask the Prime Minister a question of urgent to the public importance. Will the Prime and Minister consider the tightening up of regulations with regard to broadso as to prevent the disseminathe tion of unauthorized matter? I may be permitted, by way of explanation, to say that at a recent foundation dinner of the Australian Natives Association, when a number of important addresses were made distinguished men, including the Treasurer of the Commonwealth, a leading Nationalist supporter was heard to say, sotto voce, "" These coves should be and their limited to fiveminutes.""",15
15,Mr BRUCE,AMENDMENT OF THE,I do not. think that tightening-up of the regulations is needed. It is for those controlling broadcasting to take precautions to prevent such remarks from being sent out. LOCARNO TREATY. been Minister noticed that the s Canadian.,15
16,Mr COLEMAN,AMENDMENT OF THE,"Ha the Prime Government is seeking the permission of the British Government to publish the various papers connected with the Locarno treaty of guarantee? If so, will he associate his Government with that request ?",15
17,Mr BRUCE,AMENDMENT OF THE,"I have not seen any to the representations to which the honourable member has drawn attention. In due course, the papers referred will be forwarded to the Dominion Governments for their consideration, and matter will then be considered by this Government. NA PUMPS : PRICE OF PETROL. FORMAL MOTION OF ADJOURNMENT.",15
18,Mr SPEAKER,IMPORTATION OF PETROL," I have received an intimation . from the honourable member for Maribyrnong that he desires to move the adjournment of the House, this afteruoon, to discuss a definite matter cf urgent, public importance, namely, "" The importation of kerbside petrol pumps, and the rise in the price of petrol."" Five honourable members having risen in their places, Question proposed.",15
19,Mr FENTON,IMPORTATION OF PETROL,"Maribyrnong) [3.10]. - I do not intend to delay the House long, because, as a rule, when action is taken, inside or outside Parliament, in regard to big oil corporations, the struggle is generally a protracted one, so that this debate may be merely a preliminary canter, though I that the companies to which I am about to refer may soon come to a state of better behaviour, and treat the people of Australia better. It was, at first, my intention to place on the noticc-papei four questions for the purpose of eliciting certain information, but in view of the importance of this quite a number of people and particularly to certain individuals who have been deprived of employment, I subsequently decided to .move the adjournment of the House so that honourable members on both sides might have an opportunity to express their views on the position as I shall - present it to the House. The four questions I intended to ask are as follow: 1. Is it a fact that the British Imperial Oil Company, which asked that an additional duty of 2d. per gallon should he put on petrol, imported in tins and cases, to protect Australian industries, has now imported several hunderd ""Kerbside pumps"" from abroad, which pumps could have been manufactured, in Australia? 2. Have the Britisli Imperial Oil Company and Vacuum Oil Company, after having tied up most of the bulk retailers for a year by promising them a rebate of i d . per gallon on all their brands of petrol sold through kerbside pumps, now raised the price to the public by l i d . per gallon? 3. Is it true that some of the smaller companies have ibeen. absorbed, and have made arrangements with the British' Imperial Oil and Vacuum Companies for supplies of petrol which is being, or is to be, marketed under the smaller companies' brands? 4. Is the Commonwealth Oil Refineries Company Limited, of which the Commonwealth Government owns a share, to be instructed to raise its prices to the level of the private companies' prices? I do not deny that the community f r equently derives considerable benefit from the operation of a well-organized trading combine, but sometimes these corporations, while extending benefits with the right hand, take them back with the left hand, and operate to the detriment of the public. We have sometimes had that kind of' treatment from the British Imperial O i l Company and the Vacuum Oil Company, a subsidiary company of the Standard O i l Trust. The bulk of Australia's supplies of petrol are provided by these two companies and the Commonwealth Oil Refineries Limited , in which the Commonwealth Government is associated with the Anglo Persian Oil Company, and holds the majority of the shares. Although the bulk of my complaint today hope will relate to matters controlled by the Minister for Trade and Customs, I am pleased that the Prime Minister <Hr. Bruce) is in the chamber, because I understand that his department deals with matters relating to the Commonwealth Oil Refinery. I hope that if he has any influence with the Commonmatter to wealth representatives on the board of directors of the Commonwealth O i l Refineries Limited , he will instruct them, if possible, to stick to their guns, and not increase the price of petrol. Mr E. RILEY - The Commonwealth has representation on that board.",16
20,Mr FENTON,IMPORTATION OF PETROL,"Yes ; but the Prime Minister has often told us that the representatives of the Commonwealth are placed on these boards to act according to their own judgment, and are not to be dictated to by the Government. Nevertheless, I hope the right honourable gentleman w i ll have something to say to this board in regard to the price of petrol. I am also pleased to see the Attorney General (Mr Latham) in the chamber, because if these great controllers of the supply of petrol keep on raising the price of the commodity, they will be interfering with transport in Australia to a greater extent than would be possible for any member of a trade union, and the honourable gentleman ought to be able to bring them under the operation of the Crimes Bill . In Saturday night's Herald the Vacuum Oil Company and the Imperial O i l Company explained that the price of petrol ought not to have been reduced, because as far back as September of last year, the market conditions did not justify any reduction. It is strange that about September of last year a representativeof one of these companies, giving evidence before the Public Accounts Committee, in reply to a question about the probable oil supplies of the world, stated that that was more or less a matter of speculation, but that his latest advices were that there was in the world at the moment an over-supply of petrol. If that gentleman's evidence was correct in September last, why should the market conditions in Australia at ' the present necessitate a rise in the price of petrol? However, that is a matter that can be determined by further inquiry. What concerns me most is the fact that a number of workmen engaged in Australia in the manufacture of kerb pumps have lost their employment. These petrol pumps, commonly known as bowsers, have been widely installed with a view to obviating the expense of tinning and casing petrol. Through them the user of petrol ought to obtain his supplies more cheaply than by purchasing petrol in tins and cases. I am not averse to the use of these bowsers, because they are one of the greatest conveniences the' users of petrol could have, and I trust that on all the roads of Australia, even in sparsely-populated districts, this facility will be available for motor traffic. I was greatly concerned to learn from an officer of the Engineers Union that 24 employees in a Melbourne firm had received noticeof dismissal owing to the fact that the British Imperial Oil Company were importing 750 bowsers from Great Britain, and the Vacuum Oil Company, not to be behind, had placed an order in America for 1,000 bowsers. Mr E. RILEY - Can the pumps be made here?",16
21,Mr FENTON,IMPORTATION OF PETROL,"Yes . The public might well believe that the Vacuum Oil Company and the British Imperial Oil Company were fighting each other over every inch of Australia; but it is remarkable that when both are anxious to increase the price of petrol up goes the price. The following letter has been received from their employers by 24 employees of the E.M.F. Electric Company, operating in South Melbourne and at 24 Bond-street, Sydney:We regret that owing to the action of the British Imperial and Vacuum Oil Companies who are proposing to import into Australia 1,750 petrol pumps, we are compelled to give you one week's notice of our intention to dispense With your services owing to the fact that so far as we are able to ascertain there will be no market for the pumps we have already constructed let alone any possibility of new construction on our part. Regretting very much that we have to place you in this position and assuring you that so soon as' we have re-organized our business to overcome this situation we shall .be only too pleased to engage you again on the same conditions as at present. I understand that other firms affected include the Larkin Aircraft Company, the Hammond Company of Sydney, and the S. and D. Company of Melbourne. The employment of about 300 people is menaced. Associated with the Larkin Aircraft Company and the E.M.F. Company ar.c many returned soldiers, some of whom have lost one limb. The fact that the employment of such a large number of men is being affected by the importation of pumps from. Great Britain and America is an additional reason why this House should take action to protect a young and struggling industry. If any honourable members are doubtful of the facts I have stated, I urge them to visit the factory of the E.M.F. Company. There they will see a couple of completed pumps which reveal a high standard of workmanship, and other pumps in various stages of manufacture. Unfortunately, this work has been discontinued.",17
22,Mr STEWART,IMPORTATION OF PETROL,Probably it is only a matter of price.,17
23,Mr FENTON,IMPORTATION OF PETROL,"I understand that, once again, the Australian article is not only better than the imported, but also produced at a lower price. Honourable members may ask why, if the Australian product is the cheaper, the oil companies I have mentioned should prefer to import pumps from Great Britain and America. The fact is well known that the shareholders in oil companies are interested in many related concerns, and it is quite possible that the profits which-the Vacuum Oil Company and the British Imperial Oil Company would derive from the manufacture of pumps in Great Britain and America would more than counterbalance any economies that might be effected by buying the cheaper and better Australian article. That aspect of the case should be investigated by the Minister for Trade and Customs and his officers. The proposed importation of petrol pumps is a serious menace to Australian industry and the employment of our people, including many returned soldiers. I believe that even sueh an ardent free trader as the honourable member for Swan (Mr Gregory) would, if fully seized of the facts, be prepared to endorse the claims of local industry.",17
24,Mr GREGORY,IMPORTATION OF PETROL,The strange fact is that the more protection we give the more unemployment increases.,18
