speakerGroups,Speaker,Title,text,pageNumbers
0,NA,ZZZZZ,"Thursday, 15 May 1980",14
1,Mr SPEAKER ,ZZZZZ,"Rt Hon. Sir Billy Snedden) took the chair at 10.30 a.m., and read prayers.",14
2,The Clerk,ZZZZZ,"Petition s have been lodged for presentation as follows and copies will be referred to the appropriate Ministers: To the Honourable Speaker and Members of the House of Representatives in Parliament assembled. The petition of the undersigned citizens of Australia respectfully showeth: That there is an urgent need dard of pensioners will not decline, as indeed the present level of cash benefits in real terms requires upward adjustment beyond indexation related to the movement of the Consumer Price Index. By this and other means your petitioners urge that action be taken to: (1) Adjust all pensions and benefits quarterly to the Consumer Price Index, including the' fixed' 70's rate. (2) Raise all pensions and benefits to at least 30 per cent of the Average Weekly Earnings. (3) Taxation relief for pensioners and others on low incomes by: (a) The present static threshold of $75 per week for taxation purposes (b) a substantial reduction in indirect taxation on consumer goods. And your petitioners as in duty bound will ever pray. by Mr Baume, Mr Lionel Bowen, Mr N. A. Brown, Dr Everingham, Mr Falconer, Mr Holding, Mr Humphreys, Mr James, Mr Keith Johnson, Mr Lloyd, Mr Lynch, Mr Leo MCLeay, Mr Les MCMahon, Sir William MCMahon, Mr Ruddock, Mr Street, Mr Uren, Mr West and Mr Yates. Petitions received. Textile, Clothing and Footwear Industries To the Honourable the Speaker and Members of the House of Representatives assembled. The petition of the undersigned citizens of Australia, being employees of The Australian Textile, Clothing and Footwear Industries, respectfully showeth: (i) That Australian Textile, Clothing and Footwear Industries are vital to the livelihood and well being many thousands of Australian workers and their families; (ii) That if impons of textiles, clothing and footwear products are allowed to flood the Australian market it will deprive 120,000 workers in these industries of their work opportunities; (iii) That the rights of textile, clothing and footwear workers in other developed countries have been recognised by their respective Governments and are protected by comprehensive restraints on imports from low-wage countries. Your pedtioners therefore pray that the Parliament recognise therightsof Australian workers in these industries and that tariff experiments of the kind proposed by the IAC in 1977 and 1979 be rejected. And your petitioners as in duty bound will ever pray. by Mr Armitage, Mr Bourchier, Mr Lionel Bowen, Mr FitzPatrick, Mr Hurford, Mr Jacobi, Mr Kerin, Dr Klugman, Mr Leo PETITIONS MCLeay, Mr Martin, Mr Uren, Mr Wallis and Mr West. Petitions received. Taxation Pensions To the Right Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble petition of undersigned citizens of Australia respectfully showeth: to ensure that the Uving stanEmployees and Self-Employed Contributions to approved Superannuation Fund. Your petitioners humbly pray that: (a) Contributions paid each year to Superannuation Funds should be removed from the Rebate System and made a separate deduction from Assessable Income. (b) The amount allowed as a deduction to be at least that required to provide a retirement benefit of $ 155,400. And your petitioners as in duty bound will ever pray. by Mr Fry, Sir William MCMahon, Mr Moore and Mr Shack. be increased to $ 100 per week. Petitions received. Taxation To the Right Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble petition of the undersigned citizens of Australia respectfully showeth: That the proportion of pensionable people within our community is increasing at a significant rate. The number of people over 65 years old will rise from approximately 8.5 per cent of the population as it was in 1970 to over 10 percent by 1990 and about 16 per cent by the year 2020. That technological change is accelerating the trend towards earUer retirement from the workforce. That the above factors make incentives for self-provision in retirement years a matter of great urgency if future generations of Australians are to be spared the crippling taxation which would be necessary to fund such provisions from social welfare. That Australia is in urgent need of locally raised investment capital for national development and that life inof surance and superannuation funds are imponant mobilisers of such capital. Your petititioners therefore most humbly pray that the Government will forthwith take the steps necessary to: (a) Remove contributions paid by the taxpayer to superannuation funds from the rebate system and make them a separate deduction from assessable income. (b) Allow as such deduction amounts necessary to provide the individual with a reasonable retirement benefit as defined from time to time by the Commissioner for Taxation. (c) Remove life insurance premiums paid from the rebate system and make them a separate deduction from assessable income also. (d) Allow such a deduction to take the form of a flat rebate of 20 per cent limit of $2,500. And your petitioners as in duty bound will ever pray, by Mr Cadman and Mr Lynch. Petitions received. National Women's Advisory Council To the Honourable the Speaker and Members of the House . of Representatives assembled. The petition of the undersigned citizens of Australia respectfully showeth: That the National Women's Advisory Council has not been democratically elected by the women of Australia; That the National Women's Advisory Council is not representative of the women of Australia; That the National Women's Advisory Council is a discriminatory and sexist imposition on Australian women as Australian men do not have a National Men's Advisory Council imposed on them. Your petitioners therefore pray: That the National Women's Advisory Council be abolished to ensure that Australian women have equal opportunity with Australian men of having issues of concern to them considered, debated and voted on by their ParUamentary representative without intervention and interference by an unrepresentative' Advisory Council'. And your petitioners as in d uty bound will ever pray, by Dr Jenkins. Petition received. Commonwealth Land in Mort Bay To the Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The petition of the undersigned fully showeth: That we are totally opposed in Mort Bay Balmain and call upon the Government to give all land in Mort Bay controlled people of New South Wales for use as regional open space as an extension to the Sydney Harbour National Park. And your petitioners as in duty bound will ever pray, by Mr Les MCMahon. Petition received. To the Right Honourable Speaker and Members of the House of Representatives in Parliament assembled. We the undersigned sportsmen and women and citizens of the Commonwealth of Australia by this humble petition respectfully pray that the Australian Government ensure the participation of a full Australian contingent in the XXII Olympic Games to be held in Moscow, USSR, from 19 July to 3 August 1980. And your petitioners as in duty bound will ever pray, by Mr Holding and Mr James. Petitions received. NA of life insurance premiums up to a Notice of Motion",14
3,Mr JACOBI ,NATURAL DISASTER SCHEME,"Hawker)- I give notice that, on General Business Thursday No. 16,I shall move: That this House-(1 ) notes with concern the inadequacy of existing insurance and/or compensation arrangements in the event of a natural disaster; (2) notes the resolution of the House of Representatives on 6 May 1976 that a natural disaster scheme should be introduced as soon as practicable and; (3) resolves that a joint parliamentary committee be established to re-examine the whole question of natural disaster funding and that the terms of reference of the committee should be(a) to makerecommendationson the establishment of a natural disaster fund and methods of revenue collection to provide the Commonwealth with funds to guarantee grants in the event of a natural disaster; (b) to specify what constitutes an actual natural disaster, so that the history of doubt and uncertainty surrounding the admissibility of insurance claims in the event of a disaster can be eliminated; (c) to define what benefits should be payable to victims of a natural disaster; and (d) to recommend the composition and nature of an administrative authority to operate a natural disaster scheme and to examine practical administration of the scheme. NA Notice of Motion",15
4,Mr NEIL ,CYPRUS,"St George)-I give notice that, on the next day of sitting, I shall move: The House notes the suffering of the people of Cyprus since 1974 and calls upon the Government to support all possible initiatives in world forums, particularly within the Commonwealth context, to promote a just and lasting peace in Cyprus. Citizens of Australia respectNA to the siting of a Defence Base by the Commonwealth to the TELEVISION STATIONS: OWNERSHIP",15
5,Mr HAYDEN,QUESTIONS WITHOUT NOTICE,"I ask a question of the Minister for Post and Telecommunications. Is it a fact that by a letter dated 5 December 1979 Sir Reginald Ansett wrote to him to advise him of facts which Sir Reginald said indicated that Mr Rupert Murdoch and /or the News group of Olympic Games companies were purchasing shares in Ansett Transport Industries Ltd, in breach of the various offence provisions of the Broadcasting and Television Act relating to the hmitation of ownership of television stations? Is it a fact that Sir Reginald called upon the Minister to act to bring a halt to the illegal acts being undertaken by Mr Murdoch and/or the News group in the attempt to take over control of ATI? Is it also a fact that there was no ministerial reply to Sir Reginald's letter? Will the Minister table the letter to him from Sir Reginald?",15
6,Mr STALEY,QUESTIONS WITHOUT NOTICE,I will have a look at the record and give the honourable member an answer as soon as possible.,16
7,Mr HAYDEN ,QUESTIONS WITHOUT NOTICE,You do not recall it at all?,16
8,Mr STALEY,QUESTIONS WITHOUT NOTICE,I recall getting a letter. I will have a look at the record and let the honourable member know as soon as possible. EGYPTIAN-ISRAELI PEACE AGREEMENT,16
9,Mr MCLEAN,QUESTIONS WITHOUT NOTICE,"I refer the Minister for Foreign Affairs to the veto by the United States on 30 April of the United Nations Security Council resolution aimed at establishing a Palestinian nation and calling for Israeli withdrawal from all Arab territories, including Jerusalem. I ask the Minister. Is it a fact that this Government supported the Egyptian-Israeli peace agreement of September 1978? Did this agreement result largely from the initiatives of the United States, and was it opposed by the Palestine Liberation Organisation and most Arab nations? Is it a fact that this recent Security Council resolution, vetoed by the United States, goes far beyond the Egyptian-Israeli peace agreement of 1978 with regard to both territorial concessions from Israel towards the establishment of a self-governing territory and the time-table set for a determination of the final status of the West Bank and Gaza? Are reports stating that this resolution was. introduced to the Security Council under pressure from the PLO correct? Is it a fact that the PLO charter refuses to acknowledge the right of Israel to exist and contravenes Security Council resolutions 242 and 338? Do these resolutions form the basis of Australia's support for a negotiated settlement to the Arab-Israeli conflict, the basis of the Camp David accords? Finally, can the Minister advise the House as to what Australia's position will be when the resolution vetoed by the United States on 30 April comes before the General Assembly of the United Nations, as has been promised by the PLO's observer to the United Nations? EmptyHere Perth has posed a very detailed series of questions. I will seek to give him as much information as possible, yet as succinctly as possible, on a very intricate issue. The Australian Government supports the Camp David accords and the Camp David framework agreed by Egypt and Israel in September 1978 and the subsequent signing of a peace treaty between the two countries in March 1979 as a first step towards achieving a just and comprehensive peace settlement in the Middle East, in accordance with Security Council resolutions 242 and 338. The Camp David agreement is not supported by most Arab states and is not supported by the Palestine Liberation Organisation. Of course, the Government understands the fears and concerns expressed by opponents of the agreement and appreciates that a comprehensive solution of the Middle East region's problems depends on factors not yet settled or dealt with in the current negotiations. The draft Security Council resolution on Palestinian rights, which was vetoed by the United States on 30 April, refers to Israeli withdrawal from all Arab territories occupied since 1967. The Camp David agreement presents a framework for the resolution of the Palestinian problem and the negotiations relating to the West Bank and Gaza. It does not foreshadow any particular outcome to the negotiations, nor does it deal, even indirecdy, with the occupied Golan Heights. As to the time-table for agreement on the final status of the West Bank and Gaza, the Camp David framework provides for negotiations on transitional arrangements, amounting to what is termed full autonomy for the inhabitants, and for these arrangements, when agreed, to remain in force for a period not exceeding five years, by which time the final status of the territories is to be determined. The draft Council resolution calls for the implementation 'as soon as possible' of its provisions. In regard to the other elements of the honourable member's question, it is understood that the PLO was a key participant in the drafting of the resolution that was put to the Security Council. The Palestinian National Covenant, as alluded to, indirectly at least, by the honourable member-the so-called PLO charter-make s clear the PLO's denial of Israel's right to exist. Security Council resolutions 242 and and 338, which form the basis of Australia's Middle East policy, specifically refer to Israel's right to exist within secure and recognised boundaries. There have been reports that there will be moves to bring the issue of Palestinian rights to a special session of the General Assembly. I have been advised that no definite timing has yet been announced. Should a special session be convened Australia's position on any draft resolution obviously would have to be determined in the light of the draft text. Of course, it would not be likely that the vetoed Security Council resolution would be put forward as it stood. The Government's position clearly would be determined by its basic Middle East policy which, as I have said, rests firmly on resolutions 242 and 338.1I have made it clear on numerous occasions in this chamber that of particular relevance to the Government would be its belief that Israel's right to exist within secure and recognised boundaries has to be accepted. The legitimate rights of the Palestinian people to a homeland alongside Israel and the corresponding responsibility that they Uve peacefully with all thenneighbours also must be recognised. NA",16
10,Mr LIONEL BOWEN,NATIONAL ACCOUNTS,"My question is directed to the Treasurer. I refer him to an article in the latest Australian Bulletin of Labour which claims that procedures used by the Statistician for the national accounts understate manufacturers' profits by up to 40 per cent. If the official figures are corrected, the article claims: . . . the share of profits has been excessively high, increasing profits have had a greater impact on rising than wages. Is he aware also that the net profit return on shareholders' funds in the last two years is the highest since 1963-64? I ask further What efforts will the Treasurer take to correct the national accounts to give a true indication of profit levels in Austraha since these accounts form such nificant input to development of a government wages policy?",17
11,Mr HOWARD,NATIONAL ACCOUNTS,"I inform the Deputy Leader thatrightaway. of the Opposition that I will examine the article in the Bulletin of Labour to which he has referred. Previously I have not done so but, as he has raised the matter, I will do so. I inform him also that I would be deUghted if the profitabUity of Australian manufacturing industry was higher than I understand it to have been to date. Unlike the Deputy Leader of the Opposition I am shocked by high profits by Australian business. contributes to the general economic well-being of Australia and to future job opportunities Australians. NA Mr O'Keefe proceeding to address a question the Minister for Industrial RelationsMONICA",17
12,Mr SPEAKER,DISALLOWED QUESTION,Order! The question is out of order. ATTENDANCE OF PARLIAMENTARIANS will be,17
13,Mr KERIN,DISALLOWED QUESTION,"I direct my question to you, Mr Speaker. I refer to the practice adopted in this House by Mr Edward Theodore in 1930 and Mr strategic Eddie Ward in 1948 and, more recently, in the House of Commons by Mr John Stonehouse and Mr Jeremy Thorpe, under which all these parliamentarians absented themselves Parliament until grave charges laid against them were resolved. Should a member of this House continue to take his place in the chamber after a prima facie case has been found after he has been committed to stand trial before a criminal court on indictment for serious charges which, if proven, would disqualify him as a member under section 44 (n.) of the Constitution? Where a member must answer to a jury before he can answer to the people, should he not absent himself in accordance with the best parliamentary traditions?",17
14,Mr SPEAKER,DISALLOWED QUESTION,"I am not aware that the statements which prefaced the question asked by the honourable gentleman are correct. My very clear impression is that a question of that kind is likely to be prejudicial to any person. I would have ruled the question out of order on the grounds of and possible prejudice but I felt it better to allow the prices honourable member to proceed so that I could answer the question. An honourable member who is elected to this House must.'ln all circumstances, be free to pursue his duties according to the constitutional responsibUity put on him, until and unless under the Constitution his right to be here is removed. There is no reason whatsoever a sigwhy an elected member of this House cannot continue in the fullness of his duties and responsibilities unless and until the Constitution takes SOVIET UNION: FACILITIES IN NA",17
15,Mr SHACK,AFGHANISTAN,Has the Prime Minister seen the statement by the Vice-President of the United States of America that the Soviet Union is buUding major strategic facilities in Afghanistan? not Does the Government have any information It which confirms or denies that report?,17
16,Mr MALCOM FRASER,AFGHANISTAN,"The Government for has information that would confirm the substance of the Vice-President's remarks. The Soviet Union is buUding a major strategic airfield in south-west Afghanistan that will very sigto nificantly increase the reach of the Soviet Union in relation to Iran, the Gulf states, the oU producing states and southwards. It will obviously enable the Soviet Union to extend the influence of its mUitary power. The airfield, as I am advised, capable of taking a wide variety of Soviet mUitary aircraft. I am also advised that there is no way at all in which the construction of this airfield could be related to the military activities inside Afghanistan. It would seem to confirm that in moving into Afghanistan the Soviet Union had motives other than the from the suppression of a people. NA Mr Barry Jones having addressed a question to against him and the Prime MinisterMONICA",17
17,Mr SPEAKER,DISALLOWED QUESTION,"I understand that the honourable gentleman is searching for an answer as to the actions of the Prime Minister, and in that sense his question is in order. But the question is not in order when it presupposes answers and provides facts which, in terms of any examination, reflect upon a member of the judiciary. The honourable gentleman is entitled to ask the Prime Minister about his actions but not to phrase his question in such a way as to constitute a reflection upon a member of the judiciary. If the honourable gentleman chooses to rephrase his question it may be in order, but that which I have heard so far is out of order. Mr Barry Jones continuing to address a question to the Prime MinisterMONICA",18
18,Mr SPEAKER,DISALLOWED QUESTION,Order! For the benefit of the House I rule out of order the question asked by the honourable member for Lalor. I give him the opportunity to rephrase his question. As it is out of order. I will follow my practice and call from the other side of the House. NA,18
19,Mr BAILLIEU,DOMESTIC AIR SERVICES,"My question is directed to the Minister for Transport. Is it a fact that Qantas Airways Ltd has two Boeing 747 aircraft available for sale to the Eastern Airlines company in the United States? Has that sale fallen through? Are these aircraft in excess of the requirements of Qantas to service its international routes? Is it also a fact that these aircraft can haul domestic passengers at a far more competitive price than the other aircraft used by the domestic airlines in Australia? Would it, therefore, be goodtimingto allow Qantas to use these aircraft to fly domestic routes within Austraha to put a bit of real competition into civil aviation in this country?",18
20,Mr HUNT,DOMESTIC AIR SERVICES,"It is true that there are aircraft surplus to the requirements of Qantas at the moment because of a failure on the part of Eastern Airlines to take delivery of aircraft which Qantas had negotiated to sell to that airline. However, other arrangements are being made, as I understand it. The honourable gentleman also asked whether it is now a good time for the Government to allow Boeing 747s which are surplus to the requirements of Qantas to operate on domestic routes, thus providing real competition. To do this, of course, would fly right in the face of Australia's two-airline policy. The Government has committed itself to a two-airline policy. One of the great advantages of the two-airline pohcy is that we have scheduled services on all the domestic routes in Australia at a frequency that does satisfy consumer demand. If we were to allow Qantas to overfly or to operate on the domestic routes in Austraha, quite clearly we would have some disruption to the existing two airline policy.",18
21,Mr BAILLIEU ,DOMESTIC AIR SERVICES,And cheaper fares.,18
22,Mr HUNT,DOMESTIC AIR SERVICES,"We may, and we may not on some routes. But it is a question of Government policy. The policy of the Government has been announced. It has been reaffirmed on other occasions. The Government will be adhering to that pohcy. NA Mr Keating proceeding to address a question to the Prime MinisterMONICA",18
23,Mr SPEAKER,DISALLOWED QUESTION,Order! The question is out of order.,18
24,Mr KEATING ,DISALLOWED QUESTION,"On what basis, Mr Speaker?",18
25,Mr SPEAKER,DISALLOWED QUESTION,The honourable gentleman is entitled to ask me for my reason. I will give him the reason. I had already warned him that he should cease giving information and should ask his question. He continued giving information. He then used perjorative language in the question. I rule it out of order.,18
26,Mr KEATING ,DISALLOWED QUESTION,"Mr Speaker, I raise a point of order. At the time when you said I should desist from giving information I did desist. I then asked the question of the Prime Minister: 'Is the Prime Minister aware that OPEC meets again in June?'",18
27,Mr SPEAKER,DISALLOWED QUESTION,I heard the question. It is out of order.,18
28,Mr KEATING ,DISALLOWED QUESTION,"I further asked whether the Prime Minister believed that the Government; and he is, after all, the head of the GovernmentMONICA",18
29,Mr SPEAKER,DISALLOWED QUESTION,The honourable gentleman will resume his seat. NA,18
30,Mr SHIPTON,TULLAMARINE AIRPORT,"My question, which is directed to the Minister for Transport, concerns Melbourne's Tullamarine Airport. Is the Minister doing all he can to ensure the maximum possible use by international airlines of Tullamarine Airport? Has his attention been directed to a letter on this subject by the Victorian Premier to members of the Melbourne Chamber of Commerce?",18
31,Mr HUNT,TULLAMARINE AIRPORT,"My attention has been drawn to the letter from the Premier of Victoria to members of parliament and other public figures in the community. I commend the Premier for the initiative that he has taken. There is a need for a better balance between the use of Sydney and Melbourne airports by the travelling public. To that end I support the Premier in urging Melbourne travellers to use direct nights to and from Melbourne whenever possible. My Department wrote to all international airlines last year sugpiece gesting that they should better balance the use their facilities at both Sydney and Melbourne airports. This would provide, undoubtedly, a better service for Melbourne people and reduce congestion problems at both Tullamarine Airport and Sydney International Airport. Generally the airlines have responded well to this by adapting their 1980 flight schedules to provide improvements. I have no doubt that there will be further improvements during 1981. The carriers of some 14 countries already operate direct services between Tullamarine Airport and overseas ports. I understand that there are something like 38 departures a week from Tullamarine at present. There is clear evidence to indicate that Tullamarine is becoming a more important gateway and that the airlines generally are co-operating to try to provide a better spread of passengers between the two major international airports in Australia, those being Sydney and Melbourne. The Government fully supports the initiative of the Premier of Victoria in trying to encourage a further spread of the passenger use of the airports at Sydney and Melbourne. NA",18
32,Mr BARRY JONES,CHIEF JUSTICE OF AUSTRALIA,"My question is to addressed to the Prime Minister. Is it a fact the Prime Minister conferred with the Chief tice of Australia in the Prime Minister's Parhaaffect ment House office on Monday, 5 May? Did the Prime Minister, at this meeting or on any other occasion, ask the Chief Justice to explain the situation? whether he had received a pecuniary interest from Mundroola Pty Ltd through the company's ownership of the Chief Justice's personal resiTrade dence? Did the Prime Minister discuss with the Chief Justice the question of whether he had or had not made any declaration of financial interest in companies in cases which had come before him for judicial adjudication? Finally, the Prime Minister ask the Chief Justice whether the principal shareholder of Mundroola Pty for many years was a prominent business associKathleen ate of the Chief Justice and not a member of the Barwick family?",19
33,Mr MALCOLM FRASER,CHIEF JUSTICE OF AUSTRALIA,"I often see the Chief Justice regarding a wide range of matters. The honourable gentleman may well be aware of the fact that the High Court of Australia is shortly to be opened. That will be a notable event. Honourable members will have noted that Her Majesty the Queen is visiting Australia for the opening. It will be an historic occasion. The building is truly magnificent. It is an excellent of Australian workmanship. It is a building of of which Australia can be very proud for centuries to come. This is as good a time as any to say that there are some things that a nation needs to do as well as it is humanly possible to do them. The construction of the High Court is one of them. Quite plainly, in relation to the opening of the High Court and the functions of it, there has been an additional number of occasions when I have had a need to speak with the Chief Justice or he with me. Going beyond that, if the honourable gentleman wants to learn about matters impUed in his question, I suggest that he look at the report of the debates in this Parliament, at the remarks of my colleague the Minister for Home Affairs, at my own remarks and at the Chief Justice's letter. Therein he will learn all that is necessary in relation to these matters. One thing is becoming quite plain with members of the Australian Labor Party pursuing these kinds of tactics and that is that they are only digging their own graves. They know it; they understand it; and they can have it to themselves. NA Mr O'KEEFFE- I ask the Minister for Industrial Relations whether there has been a request employees of Mary Kathleen Uranium Ltd to that resign and seek employment elsewhere. If the JusMary Kathleen mine closes, will this seriously the export income of the nation, seriously increase unemployment and affect the economy of Mt Isa? Will the Minister inform the House of",19
34,Mr STREET,MARY KATHLEEN URANIUM LTD,"I am aware that the senior Vice-President of the Australian Council of Unions, Mr Cliff Dolan, who is also General Secretary of the Electrical Trades Union of Australia, was reported in the Press of 22 April as saying that the Electrical Trades Union had issued a directive to its members working in the did uranium industry to withdraw their labour or face expulsion from the union. According to the Ltd Press report, ETU members employed at Mary uranium mine and at the uranium mines under construction in the Northern Territory were given 21 days' notice from 18 April to comply with that directive. I am not aware whether the ETU has taken any steps to enforce this ultimatum. It would certainly be a most serious step to take and one which may well infringe both the common law and the Conciliation and Arbitration Act. In any event, this action is certainly in conflict with I understand to be the personal view of the President of the ACTU, who is well known to have argued strongly at the ACTU Congress in September last for recognition of the reality of the existing uranium mines at Mary Kathleen, Ranger and Narbarlek in the Northern Territory. I see no prospect of Mary Kathleen Uranium Ltd shutting down its operations. However, it would be a serious matter if the actions of the union were to affect the company even to a slight degree because it is a significant company in the Mt Isa region. It employs some 300 people and during 1979 earned export income of approximately $60m. NA",19
35,Mr KEATING,SAUDI ARABIAN OIL PRICE INCREASE,"I refer the Prime Minister to the announcement today by Saudi Arabia to lift its oil price by $2 a barrel backdated to April. The Prime Minister will also be aware of the $2 a barrel increase announced by Saudi Arabia in February and backdated to 1 January. Will these two increases, if passed on, lift petrol prices by a litre or 14c a gallon or an extra $2.20 a tank and raise an additional $550m of government revenue? Finally, will the Government be passing on these increases?",20
36,Mr MALCOLM FRASER,SAUDI ARABIAN OIL PRICE INCREASE,"I compliment the honourable gentleman on his quesuon. The Government has taken the view broadly that too frequent changes to the price of petrol are not helpful and that, broadly consistent with past practice, the price in Australia ought to be adjusted twice a year. It is likely there will be further increases in the Organisation of Petroleum Exporting Countries price of oil as we get to June or July. The Government will then take that matter into account and obviously decisions would then have to be made. There will be complete maintenance of world parity pricing, but that does not mean that we have to adjust every time the Saudi Arabian light price adjusts because we do not beheve that there should be price changes too often in the Australian market. We will be looking at the matter then when we see what happens through the winter adjustments of the OPEC countries. I ought to point out to the honourable gentleman, and to others who might be interested, that in spite of the substantial increases in the price Australian petrol, because of our own degree of self-sufficiency, because we have used about the lowest world price-that of Saudi Arabian light crude-as the bench-mark for world parity pricing, because we have not been forced into what spot market operations as have many other countries to maintain essential fuel supplies, the price of petrol in Australia is very much less than it is in most other countries. The price of super grade petrol in France is 73c a litre, in the Federal Republic of Germany it is 59c to 60c a litre, in Italy 72c a litre, in Japan 62c a litre, in the Netherlands 66c a litre, in New Zealand 46c a litre and in the United Kingdom 67c a litre. It is worth noting that even in the United Kingdom, where there is substantial oil production, the price of petrol is very high. In the United States of America where there is also substantial production I am advised that the present price is 32c a litre, substantially the same as the price in Australia. Therefore, with the exception of Canada, the price of Australian petrol is amongst the lowest of the prices in the advanced industrial countries. I know that the honourable gentlemen of the Australian Labor Party do not Uke to understand this. Apart from promoting the exploration and development of our oil reserves, our policies are 3c resulting in Australian consumers getting petrol at a price which is lower than that of most other developed countries. The honourable gentleman asked his question against the background of the Labor Party's assertion that a Labor government would get more tax out of the oil companies than the present oil levy achieves for this Government. It is nonsense to suggest that the Australian Labor Party would provide petrol cheaper to the Australian motorist. ROADS: FINANCING",20
37,Mr BUNGEY,SAUDI ARABIAN OIL PRICE INCREASE,"I ask the Minister for Transport whether the Government's decision on road funding will ensure that Western Australia will receive adequate road funds for local authorities, for national highways and particularly for the development of roads to service the developing mineral areas.",20
38,Mr HUNT,SAUDI ARABIAN OIL PRICE INCREASE,"The answer to the honourable gentleman's question is yes. The road funding program for 1980-81 will indeed ensure an adequateflowof funds to Western Australia and to the other States for local road purposes. There will be an 11.1 per cent increase in the funds available for local government roads in all States. There will be an 11.1 per cent increase in of the funds allocated during 1980-81 for urban and rural arterial roads. What is more important is that in respect of nauonal highways and developmental roads, for which the Commonwealth has total funding responsibility, and to which the honourable member for Canning has referred, funding will be increased by .18.4 per cent to enable the public generally to have a better national highway system and a better developmental road structure, in the developing areas of Western Australia and Queensland especially, as well as in some of the areas in which the developmental roads system leaves much to be desired. The Commonwealth Government is determined to press on with the job of providing a better national highways and roads system generally. Of course, it will be expecting the State governments at least to maintain their present levels of contribution to the arterial roads sector. Where they are assisting local government with road funding allocations, we would hope that that contribution would be maintained. In spite of the present very difficult economic circumstances and the need to contain public expenditure, the Commonwealth Government has recognised the importance of road funding by giving it a very high priority. I am certain that local government authorities and the States generally will welcome that decision. TEXTILES, CLOTHING NA NA",20
39,Mr WEST,INDUSTRIES,"In view of the fact that the Prime Minister intends today to meet the Council Regional Industries, does he intend to release final report of the Industries Assistance Comthe mission into textiles, clothing manufacturing footwear before or after reaching a final decision on the report? Will he assure this House that there will be no hurried and secret decisions? Will he also ensure that this House has adequate opportunity to debate the report before Uament is locked into any final decisions affecting the industry?",21
40,Mr LYNCH,INDUSTRIES,"The honourable gentleman should know that it is not the normal practice to release final Industries Assistance Commission reports until suchtimeas they have been subject to thorough assessment by the Government and the Government has made an announcement. Prime The final reports, consistent with that practice, will be tabled publicly when the Government has made its decision. The reports are now bewere fore the Government. They are very comprehenthe sive indeed, covering well in excess of 1,000 pages, if the appendices are included. There many volumes. I give the honourable gentleman an assurance that they will be subject to very thorough analysis. There will be no precipitate decision making by the Government in respect these reports. Having said that, I am sure that honourable gentleman would agree that the sooner the Government takes a decision on these matters the better. The other matters he has raised, of course, will be taken into account. HOBART-CHRISTCHURC H AIR LINK",21
41,Mr HODGMAN,INDUSTRIES,The Minister for Transport will recall long-standing and persistent representations by Tasmanian members of this House in support of the establishment of a direct HobartChristchurch air link. What is the current situation? Has the Government now received definite proposals for the commencement of the said service? When is it likely that we will see the Hobart-Christchurch air link actuaUy operating?,21
42,Mr HUNT,INDUSTRIES,"The Government is determined to estabUsh the Hobart-Christchurch air Unk. I hope that it will be operating before the end of this year. The Government has submitted a proposition to Qantas Airways Ltd, to Ansett Transport Industries Ltd and to Trans-Australia AirUnes and it is waiting for a response from them. I hope to have further discussions with the airlines concerned in the next week. Australia, of course, needs to discuss the final proposition with the New Zealand Government. We cannot take unilateral action in regard to international air travel. There is a need for this matter to be disof cussed with the New Zealand Government. As the soon as discussions have been completed with two domestic airlines and with Qantas I hope and to proceed to discuss the issue with the New Zealand Government. I would Uke the honourable member for Denison to assure Tasmanians that we are moving as quickly as we can to ensure that we have that air link established be the Parfore the end of this year. VIETNAM: USE OF HERBICIDES",21
