speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"Tuesday, 29 September .1970",12
1,Mr SPEAKER,Unknown,Hon. Sir William Aston) took the chair at 2.30 p.m. and read prayers. NA,12
2,Mr WHITLAM,CENSORSHIP,"J present the following petition: To ihe Honourable the Speaker and Members of the House of Representatives in Parliament assembled. The humble petition of (he undersigned citizens of Australia respectively showeth. .1. Thai they are not gravely concerned that moral standards in the Australian community may be changing, particularly in regard to the community's willingness to treat adults within it as reasonable and responsible people who are capable of making up their own minds as to what may be perfectly acceptable or unacceptable material in books, magazines, plays, films and television and radio programmes, and particularly when this material gives a depiction of life in human society, including language habits and sex habits and gives warning of the dangers of the use of violence and narcotic drugs; 2. That they in fact welcome this change, having regard for the fact that it demonstrates an increasing tolerance of and respect for the rights of individuals to think their own way through their own lives, free from information-withholdin restrictions which people of one religion or one standard of morals may seek to impose on either the majority or minority who do not hold same views; 3. That they question the simplistic view nations 'perish' because of a so-called 'internal moral decay' unless such 'decay' is taken include an increasing unwillingness to face facts of life in open discussion and freedom of thought; 4. Thai they welcome the statement by Honourable the Minister for Customs and Excise, Mr Chipp, that the concept of censorship is abhorrent to all men and women who believe the basic freedoms and that, as a philosophy, evil and ought to be condemned. Your petitioners therefore humbly pray that Honourable Members of the House of Representatives in Parliament assembled will seek to ensure that Commonwealth legislation bearing on films, literature and radio and television programmes so framed and so administered as to give maximum freedom to adults to choose what will watch, read and listen to, even in the pressure from those who seek to impose their ideas and morals on others who do not share them. And your Petitioners, as in duty bound, ever pray. Petition received and read. 2(2106/70-R-[62 ] NA",12
3,Mr GORTON,MINISTERIAL ARRANGEMENTS," I wish to inform the House that the  Australia on Friday on the inaugural night of Alitalia to Rome. The Minister is expected to return to Australia on 30th September, and during his absence the Petition Minister for Immigration (Mr Lynch) is Acting Minister for the Army. NA",12
4,Mr BARNARD,SUSPENSION OF STANDING ORDERS," I move: That so much of the Standing Orders be suspended as would prevent the Deputy Leader of the Opposition from moving a motion in the following terms: That the Director of the Australian News aud Information Bureau be called before the bar of the House to determine: (i) What instructions were given by the Prime Minister's office on the News and Information Bureau coverage of the Moratorium march; (ii) Whether a specific instruction was given by a member of the Prime Minister's stuff that the Leader of the Opposition be pictured with a Vietcong flag; (iii) On whose instruction the photograph was deliberately falsified; and to supply for tabling the assignment sheets g of the photographer or photographers involved. The Opposition believes this to be a matter the of the gravest importance. It is a matter which should be clarified immediately that because the personal reputation of the Prime Minister (Mr Gorton) depends on it. to The status and prestige of the Australian the News and Information Bureau, which is the official vehicle for publicising and promoting Australia overseas, has been gravely the questioned by the coverage of the Moratorium March. By a careless and irresponsible in action the Prime Minister has impugned it is the operation of the Bureau, the tactics it employs in its work",12
5,Mr SPEAKER,SUSPENSION OF STANDING ORDERS,"-Order ! The motion before the Chair at the present time seeks the is suspension of the Standing Orders. The subthe ject matter of the motion which the Deputy they Leader of the Opposition wants to move is face of not yet before the Chair. The Deputy Leader of the Opposition may give his reasons why the Standing Orders should be will suspended, but he may not base his case on the matter which is the subject of the motion which he has foreshadowed.",12
6,Mr BARNARD,SUSPENSION OF STANDING ORDERS,"I do not want to canvass your ruling, Mr Speaker, but as 1 understand the position it is in order for me to move for the suspension of standing orders to deal with a certain matter. I am now giving the reasons why 1 believe that standing orders should be suspended to deal with the 4 matters in the motion I shall move.",13
7,Mr SPEAKER,SUSPENSION OF STANDING ORDERS,That is quite so. I appreciate the viewpoint of the Deputy Leader of the Opposition. But I remind him that he may not debate the subject matter of the motion which he seeks to move eventually. He may give his reasons why the Standing Orders should be suspended.,13
8,Mr BARNARD,SUSPENSION OF STANDING ORDERS,I feel that I must be able to put a case for the suspension of standing orders.,13
9,Mr SPEAKER,SUSPENSION OF STANDING ORDERS,"I am not endeavouring to prevent the Deputy Leader of the Opposition from doing that, but 1 do not want the case thai he proposes to put in support of the subsequent motion to be advanced in full as reasons why the Standing Orders should be suspended. The other matter is not before the Cbair at this stage.",13
10,Mr BARNARD,SUSPENSION OF STANDING ORDERS,1 must be able to give reasons why I believe standing orders should be suspended.,13
