speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"Thursday, 5 March 2015 The SPEAKER (Hon. Bronwyn Bishop) took the chair at 09:00, made an acknowledgement of country and read prayers. NA Migration Amendment (Strengthening Biometrics Integrity) Bill 2015 First Reading Bill and explanatory memorandum presented by Mr Dutton. Bill read a first time. Second Reading",17
1,Mr DUTTON,BILLS," I move: That this bill be now read a second time. I am pleased to introduce the Migration Amendment (Strengthening Biometrics Integrity) Bill 2015 on behalf of the Abbott government. The amendments to be made by this bill support changes introduced last year by the Counter-Terrorism Legislation Amendment (Foreign Fighters) Act 2014. The Foreign fighters act, among other things, addressed the emerging threat of Australians seeking to travel overseas to fight with terrorist organisations. Importantly in the context of this bill, it also enhanced the capability of the Department of Immigration and Border Protection to identify persons seeking to enter and depart Australia, and noncitizens who remain in Australia. The amendments to be made by this bill support the Prime Minister's national security statement on 23 February 2015 that further legislation to combat terrorism and keep Australians safe would be brought forward. Recent terrorism related events in Australia and globally serve to remind us that the threat of a domestic terrorist attack remains real. This bill further strengthens Australia's border protection measures by enhancing the capability of the department to identify persons seeking either to enter or depart Australia, and noncitizens who remain in Australia. Measures in the bill focus on biometrics, termed 'personal identifiers' in the Migration Act, which are a unique identifier that is based on individual physical characteristics, such as facial image, fingerprints, and iris, which can be digitised into a biometric template for automated storage and checking. The department commenced collecting biometrics, facial images and fingerprints from particular cohorts of noncitizens in 2006, and has progressively expanded its biometric collection program using a risk based approach. For example, in 2010, the department commenced collecting biometrics from noncitizens applying for protection in Australia, and from overseas applicants for visas in particular higher risk countries. Biometrics are an important integrity measure that contribute significantly to protecting Australia's border, and preventing the entry of persons who may threaten the Australian community. Once anchored to a person's biographic information, such as name, nationality and date of birth, a biometric adds significantly to the portfolio's capability to verify that a  person is who they claim to be, and links an individual to security, law enforcement, and immigration information. Biometrics are more accurate than document based checks of biographic detail, such as name, date of birth and nationality because they are relatively stable over time and are significantly more difficult to forge. As the utility of collecting biometrics rests on a foundation of accurate identification, fingerprints provide higher integrity identity assurance than identity documentation or facial images. The department has made more than 9,000 fingerprint matches with Australian law enforcement agencies and the immigration agencies of other countries. These matches have revealed undisclosed security and criminal histories, as well as discrepancies between the biographic data provided to the department and that provided to another agency. As Minister for Immigration and Border Protection, I regularly review immigration cases where biometrics have been utilised by the department to expose identity and/or immigration fraud. This includes individuals who have returned to Australia-or tried to return-under assumed identities, years after being removed from this country. Some others have attempted to gain protection here under assumed identities when they already have protection in safe third countries. Current biometric measures have exposed fraudulent and illegal activity in these instances, but the sophistication of the technology used to enter Australia illegally strains the resources of Australia's border protection agencies every day. It is the government's duty to ensure our laws are equal to the task which is faced by our border agencies. That is, while the current biometric program has effectively supported Australia's border protection efforts since it was introduced more than 10 years ago, it now needs to be updated to more effectively meet current threats and to keep pace with advances in biometric technologies. The bill provides for a simplified scheme to collect biometrics, particularly fingerprints, but does not introduce a universal biometrics collection policy. The department will continue to facilitate the smooth travel to Australia of the overwhelming majority of people who are legitimate travellers and law-abiding people, without collecting additional biometrics. While acknowledging the impact on travellers in circumstances where a certain amount of identity verification is required, the increased collection powers are proportionate to the legitimate purpose of protecting the Australian community and the integrity of the migration program. The bill will address gaps in the existing biometric legislative framework and replace seven existing provisions in the Migration Act, which separately authorise the collection of biometrics in particular circumstances, with a single broad discretionary power to collect biometrics for the purposes of the Migration Act or the Migration Regulations. Streamlining the existing multiple provisions will remove inconsistency and duplication, and enhance the department's efforts to achieve important government policy objectives. These include removing current restrictions on the circumstances where biometrics can be collected, and providing flexibility in the collection of biometrics from citizens and noncitizens who are arriving and departing Australia.  The bill provides a broader power to collect biometrics from noncitizens who have been identified as of concern after their arrival, and from behaviour while living in the Australian community. Significant numbers of noncitizens have not had identity, security and criminal history checks conducted under the Department's biometric programme, either because of the timing of their entry into Australia, or because of their method of arrival. Only a small number of noncitizens are required to provide their biometrics for checking each year. In 2013-14, less than two per cent of noncitizens granted a visa to come to Australia provided biometrics to the department. As a result, the higher integrity identity, security, law enforcement and immigration history checks that are possible using biometrics, have only been conducted on a small number who have travelled to Australia since 2007. Noncitizens who may be required to provide biometrics include those under investigation by immigration officers for identity fraud or breaches of visa conditions. Biometrics may also be required from an individual who is suspected of failing to disclose adverse information when they applied for their visa. Biometrics collected will be used to conduct additional checks with domestic and international agencies to link individuals to security, law enforcement, and immigration information known to other agencies, but which the individual has not disclosed to the department. The ability to verify information against data held by Five Country Conference partners as well as domestic agencies provides greater integrity to the immigration system, protection against the spread of terrorism and human trafficking and will assist in resolving the current asylum seeker caseload. While the bill will continue to allow the collection and use of biometrics at the border, recent examples of Australians leaving to participate in foreign conflicts have highlighted the need for additional actions to detect such persons at the border. The example of convicted terrorist Khaled Sharrouf who in December 2013 used his brother's passport to leave Australia to participate in terrorist related activities illustrates the need for fingerprint-based checks. The collection measures in this bill provide the tools to stop people like Sharrouf at the border due to the higher level of accuracy in identifying individuals provided by fingerprint verification. The bill provides for a framework to enable manual fingerprint-based checks to be carried out using mobile, hand-held devices to detect persons of concern. The checks will be conducted at airports and seaports and will take 20 to 40 seconds to complete. A traveller's identity will be checked against immigration and security agency data holdings using up to four finger images. The images will not be retained following completion of the check. This enhanced capability to conduct meaningful cross checks with relevant agencies' data holdings will respond to potential alerts or threats before someone boards an aircraft or ship, or is cleared to move into the Australian community. These mobile devices will also be deployed for use in other circumstances to assure the identity of noncitizens during key transactions with the department. The bill will remove existing restrictions in the Migration Act on collecting biometrics from minors and incapable persons, to address current inconsistencies in the Migration Act  where certain restrictions on collecting biometrics do not apply at Australia's borders, but do apply in other circumstances, such as at the time of applying for a visa. The removal of existing restrictions on collecting biometrics from minors is primarily a child protection measure aimed at preventing child trafficking and/or smuggling. Collecting personal identifiers, particularly fingerprints, from children will permit a higher level of integrity in identifying minors overseas where known cases of child smuggling and trafficking reveal higher risk. This includes conducting fingerprint-based checks against lists of missing or abducted children with countries of suspected origin as well as against Interpol missing persons records. Fingerprints provide a unique capability to accurately identify individuals that is not possible using a facial image, particularly if the person is a minor. Unlike a facial image, which is subject to considerable change as a person ages into adulthood, fingerprints are relatively stable throughout a person's life. Further, Australia, like the United States, the United Kingdom and many other countries face the return of potentially radicalised minors after participating in conflicts in the Middle East and elsewhere. While it is an uncomfortable proposition that a minor may be capable of involvement in terrorist activities or extreme violence, the conflict in the Middle East has provided evidence of the involvement of children. Through the Five Country Conference data sharing arrangements, Australia would be able to access fingerprint-based records of minors who may already be known to the security agencies of other countries. Where a minor is suspected of involvement in a terrorist activity or indeed serious criminal activity, fingerprints would enable searches of Five Country Conference partner databases and Australian law enforcement data holdings. In conclusion, the Australian government is committed to fulfilling its most important responsibility-to protect Australia, its people and its interests. This bill is an important part of preventing persons of risk from entering Australia and remaining in Australia undetected. The amendments will expand the Department of Immigration and Border Protection's capabilities to identify individuals through biometric checks, which are more accurate than current document-based checks. The bill creates a new legislative framework for collecting biometrics that will contribute to improved decision making, whether the decision is to grant a noncitizen a visa to come to Australia, permit entry or departure at the border, or to allow a non-citizen to remain in Australia. The government is serious-very serious-about border protection. The measures in this bill underscore that commitment. I urge all members to support this bill and ensure those necessary reforms. I commend this bill to the chamber. Debate adjourned. Succession to the Crown Bill 2015 First Reading  Bill read a first time. Second Reading   That this bill be now read a second time. The Succession to the Crown Bill 2015 will provide the Parliament of Australia's assent to three important reforms to modernise the law relating to royal succession. These changes are consistent with changes being made to the law in the United Kingdom. They will align the royal succession laws with modern values and ensure that the same person is the Sovereign of Australia and of the United Kingdom. The first reform will end the system of male preference primogeniture so that in future the order of succession will be determined simply by the order of birth. Female heirs will no longer be displaced by their younger brothers. The reform will apply to any person born after 28 October 2011. The second reform is to remove the bar on succession for an heir and successor of the Sovereign who marries a Catholic. The existing restriction applies to Catholics alone and not to any other faith. The reform will apply to all existing marriages at the time the law comes into force as well as to future marriages. The third reform is to limit the requirement that the Sovereign consent to the marriage of a descendant of his late Majesty King George the Second to the first six persons in line to the Crown. Failure to obtain permission to marry will no longer prevent a person from marrying, but simply mean that the person and the person's descendants are removed from the line of succession. The reform will also validate some marriages voided by the Royal Marriages Act 1772 of Great Britain. The existing rule applies to hundreds of descendants. Many of them would not have been aware that they needed the Sovereign's permission to marry. Their marriages may be legally void as a result. This bill will correct that situation by validating those marriages, provided they meet certain criteria. The reforms were enacted by the Parliament of the United Kingdom on 22 April 2013, and will come into force on the commencement of the UK legislation, as soon as all 16 realms, including Australia, implement the reforms in their jurisdictions. The Commonwealth, states and territories, in the Council of Australian Governments, COAG, agreed to the reforms in July 2012, and agreed in April 2013 to implement them using a legislative consent-and-request approach relying on section 51(xxxviii) of the Constitution. Under this approach each of the states pass legislation requesting that the Commonwealth enact legislation for the whole of Australia. All states' legislation needs to commence before the Parliament of the Commonwealth of Australia can enact the Commonwealth legislation. I note here that all states' legislation has now been commenced. COAG further agreed that any states that wished to could also enact state legislation dealing with the rules of royal succession alongside the request legislation. This modernisation of the laws of succession ensures the continued relevance of the monarchy to Australia and her people and reflects the commitment that all Australians have to equality and to nondiscrimination. We are proud today to be changing the laws of royal succession to reflect modern Australian values. I commend this bill to the House. Debate adjourned.  NA Malaysia Airlines Flight MH370",17
2,Mr DUTTON,MOTIONS, I ask leave of the House to move a motion to enable the honourable Leader of the Opposition to speak for a period equal to the Prime Minister when speaking in reply to the Prime Minister's motion on the anniversary of the loss of Malaysia Airlines Flight MH370. Leave granted.,22
3,Mr DUTTON,MOTIONS, I move: That so much of the standing orders be suspended as would prevent the honourable the Leader of the Opposition speaking for a period equal to the Prime Minister when speaking in reply to the Prime Minister's motion relating to the first anniversary of the loss of Malaysia Airlines Flight MH370. Question agreed to. NA Publications Committee Report,22
4,Mr COULTON,COMMITTEES, I present the report from the Publications Committee sitting in conference with the Publications Committee of the Senate. Copies of the report are being placed on the table. I ask leave of the House to move that the report be agreed to. Leave granted.,22
5,Mr COULTON,COMMITTEES," I move: That the report be agreed to. Question agreed to. Public Works Committee Membership The SPEAKER (09:19): I have received a message from the Senate informing the House that Senator the Hon. Bill Heffernan has been discharged from the Parliamentary Standing Committee on Public Works and that Senator Canavan has been appointed a member of that committee. NA Enhancing Online Safety for Children (Consequential Amendments) Bill 2014 Returned from Senate Message received from the Senate returning the bill without amendment or request. Enhancing Online Safety for Children Bill 2014 Consideration of Senate Message Bill returned from the Senate with amendments. Ordered that the amendments be considered immediately  Senate's amendments(1) Clause 50, page 37 (line 13), omit ""sector."", substitute ""sector;"". (2) Clause 50, page 37 (after line 13), at the end of subclause (2), add: (g) child welfare or child well-being.",22
6,Mr FLETCHER,BILLS,"Bradfield-Parliamentary Secretary to the Minister for Communications) (09:20): The government supports the amendments made to the Enhancing Online Safety for Children Bill 2014 in the other place. These amendments implement recommendation 1 in the report of the Senate Environment and Communications Legislation Committee inquiry into this bill. Clause 50 of the bill sets out the eligibility criteria for the statutory role of the Children's e-Safety Commissioner. It states that the minister must be satisfied that a person is not eligible to be appointed as the commissioner unless they have substantial experience or knowledge and significant standing in at least one of a range of fields, including the fields of operation of social media services, and public engagement on issues relating to online safety. The amendments expand the range of fields to include experience or knowledge in child welfare or child well-being. I commend the amendments to the House and move: That the amendments be agreed to. Question agreed to. National Vocational Education and Training Regulator Amendment Bill 2015 Second Reading Debate resumed on the motion: That this bill be now read a second time. to which the following amendment was moved: That all words after ""That"" be omitted with a view to substituting the following words: ""whilst not declining to give the bill a second reading the House: (1) notes that: (a) whilst this bill is designed to improve regulatory oversight of the sector, it does not address the damage to individuals that has already occurred or propose action to engage with the community to minimise future problems; (b) the actions of unscrupulous Registered Training Organisations and brokers have had serious impacts on vulnerable individuals; (c) reports of people being left with large debts and no qualification or useless qualifications must be addressed; and (2) calls on the Australian Government to: (a) act with more urgency to ensure the protection of students is prioritised; (b) immediately seek a consumer protection information campaign by the ACCC, including advice for people who need to seek redress, and consider other mechanisms available to strengthen consumer protections; and (c) support Labor's call for the Auditor-General to conduct an audit on the use of VET FEE-Help.""  I would like to thank members who have contributed to this debate. The Australian government's focus on skills is working to restore trades and vocational education and  training to their rightful place at the centre of our national economy. Ensuring Australian workers are highly skilled and job-ready is critical to national economic growth and productivity and a key plank of the government's industry innovation and competitiveness agenda. The Australian government has embarked on significant VET reform, which has included widespread consultation. Our reforms are focused on ensuring vocational education and training is led by industry and employer needs. They are also focused on ensuring the national VET system delivers quality training that has the confidence of students, employers and the wider community. The National Vocational Education and Training Regulator Amendment Bill 2015 strengthens the regulation of registered training providers and third-party brokers in order to address quality concerns. The bill amends the National Vocational Education and Training Regulator Act 2011 and introduces measures to protect the integrity of the national training system to provide better balance in the regulation of the training system and to improve the efficiency and operation of the act and consequently the national regulator, the Australian Skills Quality Authority, known as ASQA. In particular, extending the maximum period of registration for registered training providers from five to seven years will enable the ASQA to focus its compliance efforts on those doing the wrong thing rather than on registration or renewal audits, which providers expect and prepare for. The introduction of a quality standard-making power sends a clear signal to all in the training sector that, when required, the Commonwealth government will quickly take action against those who undermine the quality of training provided to students or abuse taxpayer funding. When exercising the standard-making power, the government will consult with key stakeholders, including employers and states and territories. This bill compliments the tough new RTO national standards the government has already introduced, which come into effect in less than a month. For example, the marketing provisions of this bill increase transparency requirements on training providers and third parties when advertising training courses to students. These provisions come on top of the changes in the standards which require RTOs to have written agreements with brokers and make RTOs responsible for broker behaviour on their behalf. To help protect students and ensure they are fully informed about their training and the associated debt, ASQA is already working with consumer law agencies. Measures introduced in this bill, including broader information-sharing provisions, will further this consumer protection. I commend the bill to the House.",23
7,The SPEAKER,BILLS,"The original question was that this bill be now read a second time. To this, the honourable member for Cunningham has moved as an amendment that all words after 'That' be omitted with a view to substituting other words. The immediate question is that the amendment be agreed to.  The House divided. [09:30] (The Speaker-Hon. Bronwyn Bishop) Ayes ...................... 52 Noes ...................... 82 Majority ................. 30 NA Albanese, AN Bandt, AP Bird, SL Bowen, CE Brodtmann, G Burke, AE Burke, AS Butler, MC Butler, TM Byrne, AM Champion, ND Chesters, LM Clare, JD Claydon, SC Collins, JM Conroy, PM Danby, M Dreyfus, MA Elliot, MJ Ellis, KM Feeney, D Ferguson, LDT Fitzgibbon, JA Giles, AJ Gray, G Griffin, AP Hall, JG (teller) Hayes, CP Husic, EN Jones, SP King, CF Leigh, AK Macklin, JL Marles, RD Mitchell, RG Neumann, SK O'Neil, CE Owens, J Parke, M Perrett, GD Plibersek, TJ Ripoll, BF Rishworth, AL Rowland, MA Ryan, JC (teller) Swan, WM Thistlethwaite, MJ Thomson, KJ Vamvakinou, M Watts, TG Wilkie, AD Zappia, A NA Alexander, JG Andrews, KJ Andrews, KL Baldwin, RC Billson, BF Bishop, JI Briggs, JE Broad, AJ Broadbent, RE Buchholz, S Chester, D Christensen, GR Ciobo, SM Cobb, JK Coleman, DB Coulton, M (teller) Dutton, PC Entsch, WG Fletcher, PW Gambaro, T Gillespie, DA Goodenough, IR Griggs, NL Hartsuyker, L Hawke, AG Henderson, SM Hendy, PW Hogan, KJ Howarth, LR Hunt, GA Hutchinson, ER Irons, SJ Jensen, DG Jones, ET Joyce, BT Keenan, M  NA Kelly, C Laming, A Landry, ML Laundy, C Ley, SP Macfarlane, IE Marino, NB Matheson, RG MCCormack, MF MCGowan, C MCNamara, KJ Morrison, SJ Nikolic, AA (teller) O'Dowd, KD Pasin, A Pitt, KJ Porter, CC Prentice, J Price, ML Pyne, CM Ramsey, RE Randall, DJ Robert, SR Roy, WB Scott, BC Scott, FM Simpkins, LXL Smith, ADH Southcott, AJ Stone, SN Sudmalis, AE Sukkar, MS Taylor, AJ Tehan, DT Truss, WE Tudge, AE Turnbull, MB Van Manen, AJ Varvaris, N Vasta, RX Whiteley, BD Wicks, LE Williams, MP Wilson, RJ Wood, JP Wyatt, KG Question negatived. Original question agreed to. Bill read a second time. Consideration in Detail Bill-by leave-taken as a whole.",24
8,Ms BIRD,NOES," by leave-I move amendments (1) and (2), as circulated in my name, together: (1) Schedule 1, item 6, page 6 (lines 4 and 5), omit the item, substitute: 6 Subsection 17(5) Omit ""more than 5 years"", substitute: more than: (a) 5 years; or (b) if the application is to renew the registration of an NVR registered training organisation that the Regulator has rated as low risk (using the Risk Assessment Framework)-7 years. (2) Schedule 2, item 2, page 16 (line 11), omit ""registration, including renewal of registration"", substitute ""renewal of registration"". The opportunity to discuss these matters in the previous debate on the second reading of the National Vocational Education and Training Regulator Amendment Bill 2015 gave me the opportunity to outline the reason that Labor has put this amendment forward in the consideration in detail section-and I just want to reiterate it in the few minutes in this part of the debate. I indicated that Labor recognises that the vast bulk of this bill is intended to  provide really sensible amendments to the powers of the regulator and the government in order to increase or improve definitional terms-for example, as many members indicated, the fact that the original bill's RTO strict definition was hampering and tying the hands of the regulator with respect to some of those purported RTO activities that were going on in the market-and to provide some significant quality assurance improvements, particularly the ability for the minister to act more speedily to address some of the things that had emerged in the market. We absolutely endorse many of those. The message from those amendments is particularly important and useful for the general public at the moment-and that is why I commend the government for them. It is clear to see day by day from media reports the very unscrupulous behaviour that is going on in the VET market. Only this morning, I opened my own paper the Illawarra Mercury to see another story about more students, with very significant debts, who felt that they had got a very poor outcome and were potentially misled or given misinformation about their enrolments. This is out there in our communities. I listened to as many of the second reading speakers as I could, not only on our side of the House but on the other side of the House, telling very moving and concerning stories about their constituents who had been to them with great concerns about their children or vulnerable people they were caring for who had been caught up in this scandalous scam behaviour in the community. The bill, in its vast bulk, is exactly on message. It is saying exactly what should be said. We should be strengthening the arm of the regulator; we should be strengthening the arm of the minister to respond-and that is why we endorse it. This is why I am a bit bemused and why I really want to take this opportunity to at least put my amendments on the record to give those on the opposite side-and I do not know that I have convinced them-the chance to also support them on the record in the public debate. The particular section that I want to amend now puts in place a change to the registration period. Previously, when registering under ASQA, an RTO was given a registration for five years. The proposal is to move that out to seven. In normal circumstances, in a well-regulated market operating as it should, and not as we are seeing at the moment, these things might be quite logical. The regulator outlined at Senate estimates how they want to shift from a focus of doing known audit processes, where people are able to plan well in advance of the audittherefore limiting its effectiveness-to a much more intelligence-based, risk-based intervention system. I think that is a good thing to do. Their argument is that the move from five to seven years actually will free their resources up so that they will be doing fewer renewals of registration and can focus on these high-risk ones-and I do understand that as well. The other argument, which I also understand, is that TEQSA, which regulates the university sector, has seven-year time frames. There are quite a few people operating across sectors, so for them it is a logical thing to have a seven-year period. My problem is that I think now is exactly the wrong time to have included this clause in the bill. I am proposing in my amendment that it becomes an earned capacity-that is, once an RTO has been registered and has earned the reputation of being a low-risk, reliable provider, then, on renewal, they can then get a seven-year period. I think it is a sensible strengthening of the message that the government is attempting to put in place through this bill. For that reason, I commend the bill and I hope those opposite find the ability to support my amendments.   The government does not support the amendment proposed by Labor. The amendment is unnecessary and duplicates powers the regulator already has. The time periods in the legislation are upper limits-that is, up to seven years. ASQA already has the power to make decisions both at the time of initial registration and renewal to register a provider for less than the maximum of seven years. Subsection 157(4) of the act currently requires ASQA to apply the risk assessment framework when performing its functions. It is unnecessary and duplicative to reference the risk assessment framework in relation to the renewal of registration. The amendment will also see ASQA diverting resources away from the most effective regulatory actions. ASQA has also advised the government that to incorporate the notion of a low-risk rating into the legislation as the basis for the period of registration is extremely problematic. It will in fact divert resources from more effective compliance monitoring and action against poor providers. A provider risk rating is only one element of ASQA's overall risk approach to regulation. ASQA has previously advised the government that re-registration audits are the least effective method of identifying poor performing providers, leading to less sanction activity than other types of audit. ASQA's transition to a full, proportionate risk-based approach places less emphasis on the registration life cycle and more emphasis on the collection and analysing of data to determine where problems exist in the sector. This more proactive form of regulation includes annual environmental scanning and six-month monitoring, to properly identify where problems exist; collecting and using data analytic tools and better use of intelligence, including complaints, to direct regulatory interventions; and using profiles rather than simple risk ratings to better identify potential problems in the market. ASQA can then direct its resources to addressing these problems and higher-risk providers and practice. Moving to a seven-year registration cycle is consistent with this risk approach. The amendment would tie up ASQA's resources in dealing with reviews of and appeals against its risk rating of providers rather than addressing poor practice. Including a reference to risk ratings in the renewal process will leave the regulator vulnerable to lengthy disputes around rationales for discriminating between various providers on the basis of untested risk ratings. Administrative appeals processes can be lengthy and resource intensive for the regulator, with matters taking at least eight to 12 months to resolve. All in all, an amendment to draw distinctions between the initial registration period and the re-registration period would complicate the regulatory architecture, lead to the potential for challenge and litigation attaching to the regulator's decision as to the allocation of a risk rating, misinterpret the relative role that a risk rating plays in an overall and comprehensive risk approach to regulation and divert resources of the regulator towards red tape and administration and away from identifying and acting upon high-risk providers and poor practices. So the government does not support that amendment. In closing, I do not blame the current shadow minister for amendments such as these or, in fact, the situation we find ourselves in in the vocational education and training regulatory space, because she has been trying to be proactive and as helpful as possible to the government over these matters which are important. But the seeds of the issues we are dealing with now were created when the system was first established by the previous government  when Senator Carr was the minister. Yet again, Senator Carr has proven why he should not be the shadow minister for education.",26
9,Ms BIRD,NOES," I appreciate the minister's comments. It is an important area to look at. I would just like to put on the record that the VET FEE-HELP scheme was actually established in 2007 under the Howard government, although it did commence in 2009. So I think the history is important but less important than those people in our communities who are being exploited at this point in time. I have to put on the record my appreciation to the assistant minister as well and encourage him to perhaps have some conversations with me before the bill is finalised to find a way to address some of these issues.",29
