speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"|iHouse of ISepresentatibes. Monday, 16 - December, 1919. Mr SPEAKER took the chair at 3 p.m., and read prayers. NEWSOU TH WALESELECTIONS .",12
1,Mr THOMAS,Unknown,"Has the attention of the Prime Minister been drawn to statements in the newspapers in regard .to the result of the New South Wales State elections ? If so, has he any statement to .make, or does he think that the matter has nothing to do with Federal political",12
2,Mr JOSEPH COOK,Unknown,"I would suggest to my honourable friend that, as he thinks he is strong, he might be generous. PERSONA LEXPLANATIONS .",12
3,Mr HIGGS,Unknown,"I desire to make a personal explanation. I have been misrepresented by the honourable member for Wimmera, who declared that I was confusing fruit-growers with 'farmers in - stating that a conference of Inter-State farmers had objected to the establishment of a ^Federal - Bureau of Agriculture. I desire now. to explain that at this Inter-State. Conference of farmers and settlers held at Brisbane, at which all the States save Tasmania were represented, it is reported that Mr Nielsen, in the absence of Mr Swane, moved- "" That the time has not yet arrived when the establishment by the Commonwealth Government of a Department or Bureau of Agriculture is necessary."" Mr Brown moved an amendment to the effect that the establishment, by the Commonwealth Government of a Bureau should be opposed 'in the interests of the producers of all the whose interests were manifestly so manifold and various. The amendment was defeated, and after the word ""yet"" bad been deleted, the original motion was carried. The original motion was, that the time had not arrived for the establishment of .a Federal Bureau of Agriculture.",12
4,Mr BOYD,Unknown,"I , too, desire to make a personal explanation. I have been grossly misrepresented in both the metropolitan morning newspapers regarding a remark I made, on Friday last whilst the Estimates were under consideration. I admit that it does not matter very much, but as misrepresentations of a man's views are constantly made by the press, I think one is entitled to make an explanation, and to put those views correctly. It isfortunate, for honourable members that we have Hansard to show what we do say in this Parliament. The Age, in its issue of Saturday last, accuses me of having brought forward on Friday a proposal for old-age pensions for members of Parliament. The Argus of the same date makes . a similar accusation agaiust me. It says that I brought forward another suggestion which was greeted with approving cheers from members on both sides. It was 'for the establishment of a system of pensions for members.",12
5,Mr BAUTOBD,Unknown,"Not old-age pensions, but retiring pensions.",12
6,Mr BOYD,Unknown,"The Argus speaks of old age pensions for members, and in a leading article this morning it criticises what it alleges to he my view with regard to' this matter. It saysThat the proposition should have been made by Mr Boyd, bf all members, will fill Liberals, and especially Henty Liberals, with disgust. If a statement of that kind were permitted to go forth uncontradicted- a statement that I advocated something which I did not advocate-the n I should be grossly misrepresented -, Evidently the newspaper reporters did not hear what . I said.",12
7,Mr SHARPE,Unknown,"They heard it . all right. Mr BOY p - I shall not say that. They could not have - heard, what I said. It seems to me that . they must have heard the word ""pensions"" used, and took it that I was advocating old-age pensions for members of Parliament. I never advocated anything of the kind, nor had I such an idea in my mind. I never thought of, much less gave expression to, such an States, idea. What I did say was that I in dorsed the remarks of the honourable member for Kennedy, who had preceded rae, and - who had advocated that this House should sit three days a week instead of four. I . said that I endorsed that suggestion, and pointed out that, if adopted, it would give us an opportunity to attend functions in our constituencies, as Well as to discharge various other duties which we' had to perform. It would also, I said, give honourable members some time to attend to their private businesses. Then I addedIf we go on as we are doing, it seems to me that there will be a pension suggested for members of Parliament. That was said in a satirical vein. Because of those remarks, the press now declare that I advocated old-age pensions for members. I am quite certain that they will take notice of this correction, and I trust that they will give to it as much publicity as fhey did to the statement that I had advocated pensions for members of Parliament.",12
8,Mr BAMFORD,Unknown,"I immediately folsay lowed the honourable member for Henty on the occasion to which he refers, I said that I thoroughly supported the honourable member's proposition.",13
9,Mr SPEAKER,Unknown,Does the honourable member wish to make a personal explanaerected. tion 1,13
