speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"House of Representatives. settlement Tuesday, IS May, 194.1.",11
1,Mr SPEAKER,Unknown,"Hon. J. S.. Eosevear) tookthe chair at 3 p.m.,. and read prayers. HOUR OF MEETING. Motion (by Mr OH:IFLEY) agreed' to-That the House, at its rising, adjournto tomorrow.,, nt. 1.0.30 a.m.' NA eOURT, FOJITY-HOHR' WEEK-BASI C WAGE; Mr SHEEHY. - Can . the. Minister for Labour - and National Service state the present position in relation to .hearings by the Arbitration Court of the claims by the Amalgamated Engineering Union, whose members in the metal trades in Victoria recently resumed' work, and' in respect of the 40-hour week and the basic wage?:",11
2,Mr HOLLOWAY,COMMONWEALTH ARBITRATION,"r-Thehearing of the. consolidated claims for a. 40-hour, week is still proceeding. Xhe> 19th May has been .fixed as the date on' which, the taking. of evidence will becompleted . 1 It is; anticipated that the Acting Chief Judge will then begin the hearing, of claims by theAmalgamated Engineering Union, in respect of which an agreement was. reached as a part of the terms, of of the recent metal'taadesdispute in Victoria;. Although the business of the court is very congested', and one cannot, therefore, be , sure,, it is understood , from statements that have been1 made from time to time by the. Acting; Chief Judge, that he will ask: the parties, to the 40-hour week case to. try to agree to a curtailment of their final addresses, at the coTidusion of which the court will' have to consider and' later pronounce its decision!. It , is expected' that the court wall proceed' with the? basic wage inquiry as. soon as: a suitable opportunity to< do so-is presented;.",11
3,Mr TUIINBULL,COMMONWEALTH ARBITRATION,"Can the Treasurer inform the House of the estimated increase of revenue from taxes which would be received during the financial year 19.47-4S if the basic wagewere increased by £1 aweek? If he is unable to supply thefigu-r.esat this, stage, will he have investigations made and maker a statement on. the subject later ?",12
4,Mr CHIFLEY,COMMONWEALTH ARBITRATION,I shall ascertain what information is available' on the subject m i . sup-ply it to the honourable-member: FOOD FOE BETTAIN. TAXATION-MEA T PRICES,12
5,Mr HARRISON,COMMONWEALTH ARBITRATION,"-Accordin g to press reports-,, the G-oveisnmeut seems to> be harm in: its. decision to grant, exemption from: iniconia tarx onlyin, respect of food' d-onar tionsi toi the United' Eimgdomi throughthe agency of ther Australian, Eed Gross, Society, and that, theFood for Britain Appeal has been discontinueduntil donations to< it also have been, granted, income; tax exemption,... In view of the largefmeasure of public support that is accorded, to the Food for Britain. Appeal,, will the Treasurer reconsider his decision, and grant: tax exemptions! inrespect of donations to* that appeal', so-fchaitmaximum! supplies! may be sent totlie people of Britain! in the present e-ritacal period?",12
6,Mr CHIFLEY,COMMONWEALTH ARBITRATION,"This matter has ah ready been considered by the Government. From, time to time representations have been made By various bodies for income tax rebates to donors to various funds. I understand that the Australian Eed Cross. Society is conducting' a campaign to obtain food' for Britain. Donors to that, international' organization have always enjoyed' an income tax rebate, and no inquiry is' m-a,d'e as to, the way in which its funds are expended. I seeno reason, to depart from a general principle which has' been followed' by successive, governments.. Mir.. HOWSE*- I ham just' received, a telegram from MK.. Jack Harris,, the, for: president of the Orange. GraziersAsso 1771 1 ciatioaij Informing! me that at a> meeting last Saturday, the association decided to ask that gifts' ofi meat to the Food for Britain Fundbe exempt from) income tax. As. this, is a live question, not only in the. Orange district, but also throughout thewestern areas, of New South Wales,. I ask. the Treasurer if he wild' give considerationto that request?",12
7,Mr CHIFLEY,COMMONWEALTH ARBITRATION,"I assuma that the honourable, member means that wheregr.»ziers donatemeat to. the Food for BritainFund and receive a .priecfor it feke> pui'ce so received should be exempt ; fi'om income tax. 1",12
8,Mr HOWSE,COMMONWEALTH ARBITRATION,It is a gift: 1,12
9,Mr CHIFLEY,COMMONWEALTH ARBITRATION,"Does that mean that the grazier does not receive any return for the meat ? If that is so he would' receive no income that could be taxed. However, where graziers donate meat and receive some payment, such payment cannot be exempt from income tax. Mr. HUTCHINSON - Is - the Minister for. Commerce audi Agriculture' aware thattheexport puieeisconsiderably below the, market price for f-at stock, in> Aw* tralia? Ishealso aware that BO great quaaiitifey of fat stock can comeforward fo» export unless graziers, send forwardstock that would, normally be held as-capital stock ?; In these circumstances,. W-oul'd not farmers and graziers who supply stock to meet Britain's needs be asked to make a sacrifice not shared by any other section of the Ausi radian people-?' Mr SPEAKER? - OVd'er! Thehonor: able member is d'ebating the question and invfting-the Minister to debate it.",12
10,Mr HUTCHINSON,COMMONWEALTH ARBITRATION,"Wou H itnot be more equitable .for the Government to buy at market prices-- Mr SPEAKER;-Order !- The-, honourable membei; miust neconstructt his question., He is debating: the matter and asking; the Minister to debate' it,, and. that, iis not p-ei-ratssible.",12
